time_s,cg_from_tip_in
10.05,102.90044260069634
10.06,102.88778709399537
10.07,102.87508510854998
10.08,102.86233658124004
10.09,102.84954144883118
10.1,102.83669964797431
10.11,102.82381111520557
10.120000000000001,102.81087578694594
10.13,102.797893599501
10.14,102.78486448906068
10.15,102.77178839169906
10.16,102.75866524337395
10.17,102.74549497992686
10.18,102.73227753708242
10.19,102.71901285044846
10.200000000000001,102.70570085551549
10.21,102.69234148765649
10.22,102.67893468212678
10.23,102.66548037406356
10.24,102.65197849848572
10.25,102.63342784715618
10.26,102.6184258672873
10.27,102.6184258672873
10.28,102.6184258672873
10.290000000000001,102.6184258672873
10.3,102.6184258672873
10.31,102.6184258672873
10.32,102.6184258672873
10.33,102.6184258672873
10.34,102.6184258672873
10.35,102.6184258672873
10.36,102.6184258672873
10.370000000000001,102.6184258672873
10.38,102.6184258672873
10.39,102.6184258672873
10.4,102.6184258672873
10.41,102.6184258672873
10.42,102.6184258672873
10.43,102.6184258672873
10.44,102.6184258672873
10.450000000000001,102.6184258672873
10.46,102.6184258672873
10.47,102.6184258672873
10.48,102.6184258672873
10.49,102.6184258672873
10.5,102.6184258672873
10.51,102.6184258672873
10.52,102.6184258672873
10.53,102.6184258672873
10.540000000000001,102.6184258672873
10.55,102.6184258672873
10.56,102.6184258672873
10.57,102.6184258672873
10.58,102.6184258672873
10.59,102.6184258672873
10.6,102.6184258672873
10.61,102.6184258672873
10.620000000000001,102.6184258672873
10.63,102.6184258672873
10.64,102.6184258672873
10.65,102.6184258672873
10.66,102.6184258672873
10.67,102.6184258672873
10.68,102.6184258672873
10.69,102.6184258672873
10.700000000000001,102.6184258672873
10.71,102.6184258672873
10.72,102.6184258672873
10.73,102.6184258672873
10.74,102.6184258672873
10.75,102.6184258672873
10.76,102.6184258672873
10.77,102.6184258672873
10.78,102.6184258672873
10.790000000000001,102.6184258672873
10.8,102.6184258672873
10.81,102.6184258672873
10.82,102.6184258672873
10.83,102.6184258672873
10.84,102.6184258672873
10.85,102.6184258672873
10.86,102.6184258672873
10.870000000000001,102.6184258672873
10.88,102.6184258672873
10.89,102.6184258672873
10.9,102.6184258672873
10.91,102.6184258672873
10.92,102.6184258672873
10.93,102.6184258672873
10.94,102.6184258672873
10.950000000000001,102.6184258672873
10.96,102.6184258672873
10.97,102.6184258672873
10.98,102.6184258672873
10.99,102.6184258672873
11.0,102.6184258672873
11.01,102.6184258672873
11.02,102.6184258672873
11.03,102.6184258672873
11.040000000000001,102.6184258672873
11.05,102.6184258672873
11.06,102.6184258672873
11.07,102.6184258672873
11.08,102.6184258672873
11.09,102.6184258672873
11.1,102.6184258672873
11.11,102.6184258672873
11.120000000000001,102.6184258672873
11.13,102.6184258672873
11.14,102.6184258672873
11.15,102.6184258672873
11.16,102.6184258672873
11.17,102.6184258672873
11.18,102.6184258672873
11.19,102.6184258672873
11.200000000000001,102.6184258672873
11.21,102.6184258672873
11.22,102.6184258672873
11.23,102.6184258672873
11.24,102.6184258672873
11.25,102.6184258672873
11.26,102.6184258672873
11.27,102.6184258672873
11.28,102.6184258672873
11.290000000000001,102.6184258672873
11.3,102.6184258672873
11.31,102.6184258672873
11.32,102.6184258672873
11.33,102.6184258672873
11.34,102.6184258672873
11.35,102.6184258672873
11.36,102.6184258672873
11.370000000000001,102.6184258672873
11.38,102.6184258672873
11.39,102.6184258672873
11.4,102.6184258672873
11.41,102.6184258672873
11.42,102.6184258672873
11.43,102.6184258672873
11.44,102.6184258672873
11.450000000000001,102.6184258672873
11.46,102.6184258672873
11.47,102.6184258672873
11.48,102.6184258672873
11.49,102.6184258672873
11.5,102.6184258672873
11.51,102.6184258672873
11.52,102.6184258672873
11.53,102.6184258672873
11.540000000000001,102.6184258672873
11.55,102.6184258672873
11.56,102.6184258672873
11.57,102.6184258672873
11.58,102.6184258672873
11.59,102.6184258672873
11.6,102.6184258672873
11.61,102.6184258672873
11.620000000000001,102.6184258672873
11.63,102.6184258672873
11.64,102.6184258672873
11.65,102.6184258672873
11.66,102.6184258672873
11.67,102.6184258672873
11.68,102.6184258672873
11.69,102.6184258672873
11.700000000000001,102.6184258672873
11.71,102.6184258672873
11.72,102.6184258672873
11.73,102.6184258672873
11.74,102.6184258672873
11.75,102.6184258672873
11.76,102.6184258672873
11.77,102.6184258672873
11.78,102.6184258672873
11.790000000000001,102.6184258672873
11.8,102.6184258672873
11.81,102.6184258672873
11.82,102.6184258672873
11.83,102.6184258672873
11.84,102.6184258672873
11.85,102.6184258672873
11.86,102.6184258672873
11.870000000000001,102.6184258672873
11.88,102.6184258672873
11.89,102.6184258672873
11.9,102.6184258672873
11.91,102.6184258672873
11.92,102.6184258672873
11.93,102.6184258672873
11.94,102.6184258672873
11.950000000000001,102.6184258672873
11.96,102.6184258672873
11.97,102.6184258672873
11.98,102.6184258672873
11.99,102.6184258672873
12.0,102.6184258672873
12.01,102.6184258672873
12.02,102.6184258672873
12.030000000000001,102.6184258672873
12.040000000000001,102.6184258672873
12.05,102.6184258672873
12.06,102.6184258672873
12.07,102.6184258672873
12.08,102.6184258672873
12.09,102.6184258672873
12.1,102.6184258672873
12.11,102.6184258672873
12.120000000000001,102.6184258672873
12.13,102.6184258672873
12.14,102.6184258672873
12.15,102.6184258672873
12.16,102.6184258672873
12.17,102.6184258672873
12.18,102.6184258672873
12.19,102.6184258672873
12.200000000000001,102.6184258672873
12.21,102.6184258672873
12.22,102.6184258672873
12.23,102.6184258672873
12.24,102.6184258672873
12.25,102.6184258672873
12.26,102.6184258672873
12.27,102.6184258672873
12.280000000000001,102.6184258672873
12.290000000000001,102.6184258672873
12.3,102.6184258672873
12.31,102.6184258672873
12.32,102.6184258672873
12.33,102.6184258672873
12.34,102.6184258672873
12.35,102.6184258672873
12.36,102.6184258672873
12.370000000000001,102.6184258672873
12.38,102.6184258672873
12.39,102.6184258672873
12.4,102.6184258672873
12.41,102.6184258672873
12.42,102.6184258672873
12.43,102.6184258672873
12.44,102.6184258672873
12.450000000000001,102.6184258672873
12.46,102.6184258672873
12.47,102.6184258672873
12.48,102.6184258672873
12.49,102.6184258672873
12.5,102.6184258672873
12.51,102.6184258672873
12.52,102.6184258672873
12.530000000000001,102.6184258672873
12.540000000000001,102.6184258672873
12.55,102.6184258672873
12.56,102.6184258672873
12.57,102.6184258672873
12.58,102.6184258672873
12.59,102.6184258672873
12.6,102.6184258672873
12.61,102.6184258672873
12.620000000000001,102.6184258672873
12.63,102.6184258672873
12.64,102.6184258672873
12.65,102.6184258672873
12.66,102.6184258672873
12.67,102.6184258672873
12.68,102.6184258672873
12.69,102.6184258672873
12.700000000000001,102.6184258672873
12.71,102.6184258672873
12.72,102.6184258672873
12.73,102.6184258672873
12.74,102.6184258672873
12.75,102.6184258672873
12.76,102.6184258672873
12.77,102.6184258672873
12.780000000000001,102.6184258672873
12.790000000000001,102.6184258672873
12.8,102.6184258672873
12.81,102.6184258672873
12.82,102.6184258672873
12.83,102.6184258672873
12.84,102.6184258672873
12.85,102.6184258672873
12.86,102.6184258672873
12.870000000000001,102.6184258672873
12.88,102.6184258672873
12.89,102.6184258672873
12.9,102.6184258672873
12.91,102.6184258672873
12.92,102.6184258672873
12.93,102.6184258672873
12.94,102.6184258672873
12.950000000000001,102.6184258672873
12.96,102.6184258672873
12.97,102.6184258672873
12.98,102.6184258672873
12.99,102.6184258672873
13.0,102.6184258672873
13.01,102.6184258672873
13.02,102.6184258672873
13.030000000000001,102.6184258672873
13.040000000000001,102.6184258672873
13.05,102.6184258672873
13.06,102.6184258672873
13.07,102.6184258672873
13.08,102.6184258672873
13.09,102.6184258672873
13.1,102.6184258672873
13.11,102.6184258672873
13.120000000000001,102.6184258672873
13.13,102.6184258672873
13.14,102.6184258672873
13.15,102.6184258672873
13.16,102.6184258672873
13.17,102.6184258672873
13.18,102.6184258672873
13.19,102.6184258672873
13.200000000000001,102.6184258672873
13.21,102.6184258672873
13.22,102.6184258672873
13.23,102.6184258672873
13.24,102.6184258672873
13.25,102.6184258672873
13.26,102.6184258672873
13.27,102.6184258672873
13.280000000000001,102.6184258672873
13.290000000000001,102.6184258672873
13.3,102.6184258672873
13.31,102.6184258672873
13.32,102.6184258672873
13.33,102.6184258672873
13.34,102.6184258672873
13.35,102.6184258672873
13.36,102.6184258672873
13.370000000000001,102.6184258672873
13.38,102.6184258672873
13.39,102.6184258672873
13.4,102.6184258672873
13.41,102.6184258672873
13.42,102.6184258672873
13.43,102.6184258672873
13.44,102.6184258672873
13.450000000000001,102.6184258672873
13.46,102.6184258672873
13.47,102.6184258672873
13.48,102.6184258672873
13.49,102.6184258672873
13.5,102.6184258672873
13.51,102.6184258672873
13.52,102.6184258672873
13.530000000000001,102.6184258672873
13.540000000000001,102.6184258672873
13.55,102.6184258672873
13.56,102.6184258672873
13.57,102.6184258672873
13.58,102.6184258672873
13.59,102.6184258672873
13.6,102.6184258672873
13.61,102.6184258672873
13.620000000000001,102.6184258672873
13.63,102.6184258672873
13.64,102.6184258672873
13.65,102.6184258672873
13.66,102.6184258672873
13.67,102.6184258672873
13.68,102.6184258672873
13.69,102.6184258672873
13.700000000000001,102.6184258672873
13.71,102.6184258672873
13.72,102.6184258672873
13.73,102.6184258672873
13.74,102.6184258672873
13.75,102.6184258672873
13.76,102.6184258672873
13.77,102.6184258672873
13.780000000000001,102.6184258672873
13.790000000000001,102.6184258672873
13.8,102.6184258672873
13.81,102.6184258672873
13.82,102.6184258672873
13.83,102.6184258672873
13.84,102.6184258672873
13.85,102.6184258672873
13.86,102.6184258672873
13.870000000000001,102.6184258672873
13.88,102.6184258672873
13.89,102.6184258672873
13.9,102.6184258672873
13.91,102.6184258672873
13.92,102.6184258672873
13.93,102.6184258672873
13.94,102.6184258672873
13.950000000000001,102.6184258672873
13.96,102.6184258672873
13.97,102.6184258672873
13.98,102.6184258672873
13.99,102.6184258672873
14.0,102.6184258672873
14.01,102.6184258672873
14.02,102.6184258672873
14.030000000000001,102.6184258672873
14.040000000000001,102.6184258672873
14.05,102.6184258672873
14.06,102.6184258672873
14.07,102.6184258672873
14.08,102.6184258672873
14.09,102.6184258672873
14.1,102.6184258672873
14.11,102.6184258672873
14.120000000000001,102.6184258672873
14.13,102.6184258672873
14.14,102.6184258672873
14.15,102.6184258672873
14.16,102.6184258672873
14.17,102.6184258672873
14.18,102.6184258672873
14.19,102.6184258672873
14.200000000000001,102.6184258672873
14.21,102.6184258672873
14.22,102.6184258672873
14.23,102.6184258672873
14.24,102.6184258672873
14.25,102.6184258672873
14.26,102.6184258672873
14.27,102.6184258672873
14.280000000000001,102.6184258672873
14.290000000000001,102.6184258672873
14.3,102.6184258672873
14.31,102.6184258672873
14.32,102.6184258672873
14.33,102.6184258672873
14.34,102.6184258672873
14.35,102.6184258672873
14.36,102.6184258672873
14.370000000000001,102.6184258672873
14.38,102.6184258672873
14.39,102.6184258672873
14.4,102.6184258672873
14.41,102.6184258672873
14.42,102.6184258672873
14.43,102.6184258672873
14.44,102.6184258672873
14.450000000000001,102.6184258672873
14.46,102.6184258672873
14.47,102.6184258672873
14.48,102.6184258672873
14.49,102.6184258672873
14.5,102.6184258672873
14.51,102.6184258672873
14.52,102.6184258672873
14.530000000000001,102.6184258672873
14.540000000000001,102.6184258672873
14.55,102.6184258672873
14.56,102.6184258672873
14.57,102.6184258672873
14.58,102.6184258672873
14.59,102.6184258672873
14.6,102.6184258672873
14.61,102.6184258672873
14.620000000000001,102.6184258672873
14.63,102.6184258672873
14.64,102.6184258672873
14.65,102.6184258672873
14.66,102.6184258672873
14.67,102.6184258672873
14.68,102.6184258672873
14.69,102.6184258672873
14.700000000000001,102.6184258672873
14.71,102.6184258672873
14.72,102.6184258672873
14.73,102.6184258672873
14.74,102.6184258672873
14.75,102.6184258672873
14.76,102.6184258672873
14.77,102.6184258672873
14.780000000000001,102.6184258672873
14.790000000000001,102.6184258672873
14.8,102.6184258672873
14.81,102.6184258672873
14.82,102.6184258672873
14.83,102.6184258672873
14.84,102.6184258672873
14.85,102.6184258672873
14.86,102.6184258672873
14.870000000000001,102.6184258672873
14.88,102.6184258672873
14.89,102.6184258672873
14.9,102.6184258672873
14.91,102.6184258672873
14.92,102.6184258672873
14.93,102.6184258672873
14.94,102.6184258672873
14.950000000000001,102.6184258672873
14.96,102.6184258672873
14.97,102.6184258672873
14.98,102.6184258672873
14.99,102.6184258672873
15.0,102.6184258672873
15.01,102.6184258672873
15.02,102.6184258672873
15.030000000000001,102.6184258672873
15.040000000000001,102.6184258672873
15.05,102.6184258672873
15.06,102.6184258672873
15.07,102.6184258672873
15.08,102.6184258672873
15.09,102.6184258672873
15.1,102.6184258672873
15.11,102.6184258672873
15.120000000000001,102.6184258672873
15.13,102.6184258672873
15.14,102.6184258672873
15.15,102.6184258672873
15.16,102.6184258672873
15.17,102.6184258672873
15.18,102.6184258672873
15.19,102.6184258672873
15.200000000000001,102.6184258672873
15.21,102.6184258672873
15.22,102.6184258672873
15.23,102.6184258672873
15.24,102.6184258672873
15.25,102.6184258672873
15.26,102.6184258672873
15.27,102.6184258672873
15.280000000000001,102.6184258672873
15.290000000000001,102.6184258672873
15.3,102.6184258672873
15.31,102.6184258672873
15.32,102.6184258672873
15.33,102.6184258672873
15.34,102.6184258672873
15.35,102.6184258672873
15.36,102.6184258672873
15.370000000000001,102.6184258672873
15.38,102.6184258672873
15.39,102.6184258672873
15.4,102.6184258672873
15.41,102.6184258672873
15.42,102.6184258672873
15.43,102.6184258672873
15.44,102.6184258672873
15.450000000000001,102.6184258672873
15.46,102.6184258672873
15.47,102.6184258672873
15.48,102.6184258672873
15.49,102.6184258672873
15.5,102.6184258672873
15.51,102.6184258672873
15.52,102.6184258672873
15.530000000000001,102.6184258672873
15.540000000000001,102.6184258672873
15.55,102.6184258672873
15.56,102.6184258672873
15.57,102.6184258672873
15.58,102.6184258672873
15.59,102.6184258672873
15.6,102.6184258672873
15.610000000000001,102.6184258672873
15.620000000000001,102.6184258672873
15.63,102.6184258672873
15.64,102.6184258672873
15.65,102.6184258672873
15.66,102.6184258672873
15.67,102.6184258672873
15.68,102.6184258672873
15.69,102.6184258672873
15.700000000000001,102.6184258672873
15.71,102.6184258672873
15.72,102.6184258672873
15.73,102.6184258672873
15.74,102.6184258672873
15.75,102.6184258672873
15.76,102.6184258672873
15.77,102.6184258672873
15.780000000000001,102.6184258672873
15.790000000000001,102.6184258672873
15.8,102.6184258672873
15.81,102.6184258672873
15.82,102.6184258672873
15.83,102.6184258672873
15.84,102.6184258672873
15.85,102.6184258672873
15.860000000000001,102.6184258672873
15.870000000000001,102.6184258672873
15.88,102.6184258672873
15.89,102.6184258672873
15.9,102.6184258672873
15.91,102.6184258672873
15.92,102.6184258672873
15.93,102.6184258672873
15.94,102.6184258672873
15.950000000000001,102.6184258672873
15.96,102.6184258672873
15.97,102.6184258672873
15.98,102.6184258672873
15.99,102.6184258672873
16.0,102.6184258672873
16.01,102.6184258672873
16.02,102.6184258672873
16.03,102.6184258672873
16.04,102.6184258672873
16.05,102.6184258672873
16.06,102.6184258672873
16.07,102.6184258672873
16.080000000000002,102.6184258672873
16.09,102.6184258672873
16.1,102.6184258672873
16.11,102.6184258672873
16.12,102.6184258672873
16.13,102.6184258672873
16.14,102.6184258672873
16.15,102.6184258672873
16.16,102.6184258672873
16.17,102.6184258672873
16.18,102.6184258672873
16.19,102.6184258672873
16.2,102.6184258672873
16.21,102.6184258672873
16.22,102.6184258672873
16.23,102.6184258672873
16.240000000000002,102.6184258672873
16.25,102.6184258672873
16.26,102.6184258672873
16.27,102.6184258672873
16.28,102.6184258672873
16.29,102.6184258672873
16.3,102.6184258672873
16.31,102.6184258672873
16.32,102.6184258672873
16.330000000000002,102.6184258672873
16.34,102.6184258672873
16.35,102.6184258672873
16.36,102.6184258672873
16.37,102.6184258672873
16.38,102.6184258672873
16.39,102.6184258672873
16.4,102.6184258672873
16.41,102.6184258672873
16.42,102.6184258672873
16.43,102.6184258672873
16.44,102.6184258672873
16.45,102.6184258672873
16.46,102.6184258672873
16.47,102.6184258672873
16.48,102.6184258672873
16.490000000000002,102.6184258672873
16.5,102.6184258672873
16.51,102.6184258672873
16.52,102.6184258672873
16.53,102.6184258672873
16.54,102.6184258672873
16.55,102.6184258672873
16.56,102.6184258672873
16.57,102.6184258672873
16.580000000000002,102.6184258672873
16.59,102.6184258672873
16.6,102.6184258672873
16.61,102.6184258672873
16.62,102.6184258672873
16.63,102.6184258672873
16.64,102.6184258672873
16.65,102.6184258672873
16.66,102.6184258672873
16.67,102.6184258672873
16.68,102.6184258672873
16.69,102.6184258672873
16.7,102.6184258672873
16.71,102.6184258672873
16.72,102.6184258672873
16.73,102.6184258672873
16.740000000000002,102.6184258672873
16.75,102.6184258672873
16.76,102.6184258672873
16.77,102.6184258672873
16.78,102.6184258672873
16.79,102.6184258672873
16.8,102.6184258672873
16.81,102.6184258672873
16.82,102.6184258672873
16.830000000000002,102.6184258672873
16.84,102.6184258672873
16.85,102.6184258672873
16.86,102.6184258672873
16.87,102.6184258672873
16.88,102.6184258672873
16.89,102.6184258672873
16.9,102.6184258672873
16.91,102.6184258672873
16.92,102.6184258672873
16.93,102.6184258672873
16.94,102.6184258672873
16.95,102.6184258672873
16.96,102.6184258672873
16.97,102.6184258672873
16.98,102.6184258672873
16.990000000000002,102.6184258672873
17.0,102.6184258672873
17.01,102.6184258672873
17.02,102.6184258672873
17.03,102.6184258672873
17.04,102.6184258672873
17.05,102.6184258672873
17.06,102.6184258672873
17.07,102.6184258672873
17.080000000000002,102.6184258672873
17.09,102.6184258672873
17.1,102.6184258672873
17.11,102.6184258672873
17.12,102.6184258672873
17.13,102.6184258672873
17.14,102.6184258672873
17.150000000000002,102.6184258672873
17.16,102.6184258672873
17.17,102.6184258672873
17.18,102.6184258672873
17.19,102.6184258672873
17.2,102.6184258672873
17.21,102.6184258672873
17.22,102.6184258672873
17.23,102.6184258672873
17.240000000000002,102.6184258672873
17.25,102.6184258672873
17.26,102.6184258672873
17.27,102.6184258672873
17.28,102.6184258672873
17.29,102.6184258672873
17.3,102.6184258672873
17.31,102.6184258672873
17.32,102.6184258672873
17.330000000000002,102.6184258672873
17.34,102.6184258672873
17.35,102.6184258672873
17.36,102.6184258672873
17.37,102.6184258672873
17.38,102.6184258672873
17.39,102.6184258672873
17.400000000000002,102.6184258672873
17.41,102.6184258672873
17.42,102.6184258672873
17.43,102.6184258672873
17.44,102.6184258672873
17.45,102.6184258672873
17.46,102.6184258672873
17.47,102.6184258672873
17.48,102.6184258672873
17.490000000000002,102.6184258672873
17.5,102.6184258672873
17.51,102.6184258672873
17.52,102.6184258672873
17.53,102.6184258672873
17.54,102.6184258672873
17.55,102.6184258672873
17.56,102.6184258672873
17.57,102.6184258672873
17.580000000000002,102.6184258672873
17.59,102.6184258672873
17.6,102.6184258672873
17.61,102.6184258672873
17.62,102.6184258672873
17.63,102.6184258672873
17.64,102.6184258672873
17.650000000000002,102.6184258672873
17.66,102.6184258672873
17.67,102.6184258672873
17.68,102.6184258672873
17.69,102.6184258672873
17.7,102.6184258672873
17.71,102.6184258672873
17.72,102.6184258672873
17.73,102.6184258672873
17.740000000000002,102.6184258672873
17.75,102.6184258672873
17.76,102.6184258672873
17.77,102.6184258672873
17.78,102.6184258672873
17.79,102.6184258672873
17.8,102.6184258672873
17.81,102.6184258672873
17.82,102.6184258672873
17.830000000000002,102.6184258672873
17.84,102.6184258672873
17.85,102.6184258672873
17.86,102.6184258672873
17.87,102.6184258672873
17.88,102.6184258672873
17.89,102.6184258672873
17.900000000000002,102.6184258672873
17.91,102.6184258672873
17.92,102.6184258672873
17.93,102.6184258672873
17.94,102.6184258672873
17.95,102.6184258672873
17.96,102.6184258672873
17.97,102.6184258672873
17.98,102.6184258672873
17.990000000000002,102.6184258672873
18.0,102.6184258672873
18.01,102.6184258672873
18.02,102.6184258672873
18.03,102.6184258672873
18.04,102.6184258672873
18.05,102.6184258672873
18.06,102.6184258672873
18.07,102.6184258672873
18.080000000000002,102.6184258672873
18.09,102.6184258672873
18.1,102.6184258672873
18.11,102.6184258672873
18.12,102.6184258672873
18.13,102.6184258672873
18.14,102.6184258672873
18.150000000000002,102.6184258672873
18.16,102.6184258672873
18.17,102.6184258672873
18.18,102.6184258672873
18.19,102.6184258672873
18.2,102.6184258672873
18.21,102.6184258672873
18.22,102.6184258672873
18.23,102.6184258672873
18.240000000000002,102.6184258672873
18.25,102.6184258672873
18.26,102.6184258672873
18.27,102.6184258672873
18.28,102.6184258672873
18.29,102.6184258672873
18.3,102.6184258672873
18.31,102.6184258672873
18.32,102.6184258672873
18.330000000000002,102.6184258672873
18.34,102.6184258672873
18.35,102.6184258672873
18.36,102.6184258672873
18.37,102.6184258672873
18.38,102.6184258672873
18.39,102.6184258672873
18.400000000000002,102.6184258672873
18.41,102.6184258672873
18.42,102.6184258672873
18.43,102.6184258672873
18.44,102.6184258672873
18.45,102.6184258672873
18.46,102.6184258672873
18.47,102.6184258672873
18.48,102.6184258672873
18.490000000000002,102.6184258672873
18.5,102.6184258672873
18.51,102.6184258672873
18.52,102.6184258672873
18.53,102.6184258672873
18.54,102.6184258672873
18.55,102.6184258672873
18.56,102.6184258672873
18.57,102.6184258672873
18.580000000000002,102.6184258672873
18.59,102.6184258672873
18.6,102.6184258672873
18.61,102.6184258672873
18.62,102.6184258672873
18.63,102.6184258672873
18.64,102.6184258672873
18.650000000000002,102.6184258672873
18.66,102.6184258672873
18.67,102.6184258672873
18.68,102.6184258672873
18.69,102.6184258672873
18.7,102.6184258672873
18.71,102.6184258672873
18.72,102.6184258672873
18.73,102.6184258672873
18.740000000000002,102.6184258672873
18.75,102.6184258672873
18.76,102.6184258672873
18.77,102.6184258672873
18.78,102.6184258672873
18.79,102.6184258672873
18.8,102.6184258672873
18.81,102.6184258672873
18.82,102.6184258672873
18.830000000000002,102.6184258672873
18.84,102.6184258672873
18.85,102.6184258672873
18.86,102.6184258672873
18.87,102.6184258672873
18.88,102.6184258672873
18.89,102.6184258672873
18.900000000000002,102.6184258672873
18.91,102.6184258672873
18.92,102.6184258672873
18.93,102.6184258672873
18.94,102.6184258672873
18.95,102.6184258672873
18.96,102.6184258672873
18.97,102.6184258672873
18.98,102.6184258672873
18.990000000000002,102.6184258672873
19.0,102.6184258672873
19.01,102.6184258672873
19.02,102.6184258672873
19.03,102.6184258672873
19.04,102.6184258672873
19.05,102.6184258672873
19.06,102.6184258672873
19.07,102.6184258672873
19.080000000000002,102.6184258672873
19.09,102.6184258672873
19.1,102.6184258672873
19.11,102.6184258672873
19.12,102.6184258672873
19.13,102.6184258672873
19.14,102.6184258672873
19.150000000000002,102.6184258672873
19.16,102.6184258672873
19.17,102.6184258672873
19.18,102.6184258672873
19.19,102.6184258672873
19.2,102.6184258672873
19.21,102.6184258672873
19.22,102.6184258672873
19.23,102.6184258672873
19.240000000000002,102.6184258672873
19.25,102.6184258672873
19.26,102.6184258672873
19.27,102.6184258672873
19.28,102.6184258672873
19.29,102.6184258672873
19.3,102.6184258672873
19.31,102.6184258672873
19.32,102.6184258672873
19.330000000000002,102.6184258672873
19.34,102.6184258672873
19.35,102.6184258672873
19.36,102.6184258672873
19.37,102.6184258672873
19.38,102.6184258672873
19.39,102.6184258672873
19.400000000000002,102.6184258672873
19.41,102.6184258672873
19.42,102.6184258672873
19.43,102.6184258672873
19.44,102.6184258672873
19.45,102.6184258672873
19.46,102.6184258672873
19.47,102.6184258672873
19.48,102.6184258672873
19.490000000000002,102.6184258672873
19.5,102.6184258672873
19.51,102.6184258672873
19.52,102.6184258672873
19.53,102.6184258672873
19.54,102.6184258672873
19.55,102.6184258672873
19.56,102.6184258672873
19.57,102.6184258672873
19.580000000000002,102.6184258672873
19.59,102.6184258672873
19.6,102.6184258672873
19.61,102.6184258672873
19.62,102.6184258672873
19.63,102.6184258672873
19.64,102.6184258672873
19.650000000000002,102.6184258672873
19.66,102.6184258672873
19.67,102.6184258672873
19.68,102.6184258672873
19.69,102.6184258672873
19.7,102.6184258672873
19.71,102.6184258672873
19.72,102.6184258672873
19.73,102.6184258672873
19.740000000000002,102.6184258672873
19.75,102.6184258672873
19.76,102.6184258672873
19.77,102.6184258672873
19.78,102.6184258672873
19.79,102.6184258672873
19.8,102.6184258672873
19.81,102.6184258672873
19.82,102.6184258672873
19.830000000000002,102.6184258672873
19.84,102.6184258672873
19.85,102.6184258672873
19.86,102.6184258672873
19.87,102.6184258672873
19.88,102.6184258672873
19.89,102.6184258672873
19.900000000000002,102.6184258672873
19.91,102.6184258672873
19.92,102.6184258672873
19.93,102.6184258672873
19.94,102.6184258672873
19.95,102.6184258672873
19.96,102.6184258672873
19.97,102.6184258672873
19.98,102.6184258672873
19.990000000000002,102.6184258672873
20.0,102.6184258672873
20.01,102.6184258672873
20.02,102.6184258672873
20.03,102.6184258672873
20.04,102.6184258672873
