Time,Step,P_N2O_tank,P_N2O_tank_psi,P_N2O_inj,P_fu_tank,P_fu_tank_psi,P_fu_inj,gam0,MW,R,c*,╢D1,Pc_raw,dP/dt,Pc,Pc_psi,ΔP_ox,ΔP_ox (psi),ΔP_fu,ΔP_fu (psi),Me,Pe,Pe_psi,rho_o,m_dot_o,Q_o,µ_o,v_o_line,Re_o,cgd_o,dwc_o,Q_o_gpm,dP_o_Cv,dP_o_line,dP_o_total,dP_o_total_psi,rho_f,m_dot_f,Q_f,v_f_line,Re_f,cgd_f,dwc_f,Q_f_gpm,dP_f_Cv,dP_f_line,dP_f_total,dP_f_total_psi,m_dot,m_oxgen,m_ox,m_fgen,m_f,MR,T0,Te,ve,╢D1,╢D2,F_raw,dF/dt,F,F_lbf,J,J_deliv,Status,N2O Status
13.015,0.1,4529,657,4529,4426,642,4356,1.187,24.2,344,1569,0.999,2587,-31,2587,375,1942,282,1768,256,2.82,75.9,11,821,1.697,0.002,7.42E-05,5,1264803,9.405,0.011,32.77,0,506,506,0.1,,0.438,0.001,5,37377,6.69,0.022,8.8,0,70130,70130,10.2,2.135,0.1697,7.3428,0.04381,2.15723,3.87,1270,728,1460,0.999,1,2973,-60,2974,669,297.4,42362,Burning,Liquid
13.115,0.1,4520,656,4519,4416,641,4346,1.187,24.2,344,1569,0.999,2582,-49,2583,375,1936,281,1763,256,2.82,75.8,11,821,1.694,0.002,7.42E-05,5,1262819,9.404,0.011,32.72,0,505,505,0.1,,0.437,0.001,5,37312,6.689,0.022,8.79,0,69914,69914,10.1,2.131,0.1694,7.1731,0.04373,2.11342,3.87,1270,728,1460,0.998,1,2967,-67,2968,667,296.8,42659,Burning,Liquid
13.215,0.1,4510,654,4510,4407,639,4337,1.187,24.2,344,1569,0.999,2578,-53,2579,374,1931,280,1758,255,2.82,75.7,11,821,1.692,0.002,7.42E-05,5,1260998,9.403,0.011,32.67,0,503,503,0.1,,0.437,0.001,4.9,37254,6.688,0.022,8.77,0,69720,69720,10.1,2.128,0.1692,7.0037,0.04366,2.06969,3.87,1270,728,1460,0.998,1,2962,-61,2962,666,296.2,42956,Burning,Liquid
13.315,0.1,4501,653,4500,4397,638,4327,1.187,24.2,344,1569,0.998,2574,-46,2574,373,1926,279,1753,254,2.82,75.6,11,824,1.691,0.002,7.49E-05,4.9,1249555,9.395,0.011,32.52,0,502,502,0.1,,0.436,0.001,4.9,37199,6.687,0.022,8.76,0,69538,69538,10.1,2.127,0.1691,6.8345,0.0436,2.02603,3.88,1299,745,1477,0.998,1,2994,319,2975,669,297.5,43252,Burning,Liquid
13.415,0.1,4491,651,4490,4388,636,4318,1.173,24.6,337,1574,0.998,2582,75,2576,374,1915,278,1742,253,2.82,74,10.7,824,1.689,0.002,7.49E-05,4.9,1247596,9.395,0.011,32.47,0,500,500,0.1,,0.435,0.001,4.9,37114,6.685,0.022,8.74,0,69258,69258,10,2.124,0.1689,6.6654,0.0435,1.98243,3.88,1299,770,1479,1,1,2985,101,2980,670,298,43550,Burning,Liquid
13.515,0.1,4481,650,4481,4378,635,4309,1.173,24.6,337,1577,1,2582,60,2579,374,1902,276,1730,251,2.82,74.1,10.8,824,1.685,0.002,7.49E-05,4.9,1244571,9.393,0.011,32.39,0,498,498,0.1,,0.434,0.001,4.9,37006,6.683,0.022,8.71,0,68903,68903,10,2.118,0.1685,6.4965,0.04337,1.93894,3.88,1301,771,1480,1,1,2980,0,2980,670,298,43848,Burning,Liquid
13.615,0.1,4472,649,4471,4368,634,4300,1.174,24.6,337,1579,1,2578,-10,2578,374,1893,275,1721,250,2.82,74.2,10.8,824,1.68,0.002,7.49E-05,4.9,1241576,9.391,0.011,32.31,0,496,496,0.1,,0.433,0.001,4.9,36906,6.681,0.022,8.69,0,68572,68572,9.9,2.113,0.168,6.3281,0.04325,1.89556,3.89,1301,769,1478,1,1,2970,-101,2975,669,297.5,44146,Burning,Liquid
13.715,0.1,4462,647,4462,4359,632,4290,1.174,24.6,337,1580,1,2573,-56,2575,374,1886,274,1715,249,2.82,74.1,10.8,824,1.677,0.002,7.49E-05,4.9,1239014,9.39,0.011,32.24,0,494,494,0.1,,0.432,0.001,4.9,36822,6.679,0.022,8.67,0,68297,68297,9.9,2.109,0.1677,6.16,0.04316,1.85231,3.89,1299,768,1477,0.998,1,2961,-143,2966,667,296.6,44443,Burning,Liquid
13.815,0.1,4453,646,4452,4349,631,4281,1.173,24.6,337,1580,0.999,2568,-77,2570,373,1882,273,1711,248,2.82,73.9,10.7,824,1.674,0.002,7.49E-05,4.9,1237052,9.388,0.011,32.19,0,492,492,0.1,,0.431,0.001,4.9,36760,6.678,0.022,8.65,0,68091,68091,9.9,2.105,0.1674,5.9923,0.04308,1.80915,3.89,1299,770,1479,0.997,1,2958,-79,2957,665,295.7,44740,Burning,Liquid
13.915,0.1,4443,644,4443,4340,629,4272,1.173,24.6,337,1580,0.998,2564,-63,2564,372,1879,272,1708,248,2.82,73.7,10.7,828,1.674,0.002,7.55E-05,4.9,1226018,9.381,0.011,32.05,0,491,491,0.1,,0.43,0.001,4.9,36710,6.677,0.022,8.64,0,67927,67927,9.9,2.104,0.1674,5.8249,0.04302,1.76607,3.89,1299,770,1479,0.997,1,2956,-13,2952,664,295.2,45035,Burning,Liquid
14.015,0.1,4434,643,4433,4330,628,4263,1.173,24.6,337,1580,0.998,2563,-15,2561,371,1873,272,1702,247,2.82,73.6,10.7,828,1.673,0.002,7.55E-05,4.9,1224958,9.381,0.011,32.02,0,490,490,0.1,,0.43,0.001,4.9,36655,6.676,0.022,8.63,0,67747,67747,9.8,2.102,0.1673,5.6575,0.04296,1.72305,3.89,1299,770,1479,0.998,1,2952,1,2949,663,294.9,45331,Burning,Liquid
14.115,0.1,4424,642,4424,4321,627,4253,1.173,24.6,337,1580,0.999,2560,-4,2559,371,1865,271,1695,246,2.82,73.5,10.7,828,1.67,0.002,7.55E-05,4.8,1223210,9.38,0.011,31.97,0,489,489,0.1,,0.429,0.001,4.9,36588,6.674,0.022,8.61,0,67529,67529,9.8,2.099,0.167,5.4902,0.04288,1.68009,3.89,1299,770,1479,0.999,1,2947,-23,2947,663,294.7,45626,Burning,Liquid
14.215,0.1,4415,640,4414,4312,625,4244,1.173,24.6,337,1580,0.999,2556,-22,2556,371,1858,269,1688,245,2.82,73.5,10.7,828,1.667,0.002,7.55E-05,4.8,1221132,9.379,0.011,31.92,0,487,487,0.1,,0.428,0.001,4.8,36516,6.673,0.022,8.6,0,67295,67295,9.8,2.095,0.1667,5.3232,0.0428,1.6372,3.9,1299,770,1479,0.999,1,2941,-56,2943,662,294.3,45920,Burning,Liquid
14.315,0.1,4406,639,4405,4302,624,4235,1.173,24.6,337,1580,0.999,2552,-46,2553,370,1852,269,1682,244,2.82,73.4,10.6,828,1.665,0.002,7.55E-05,4.8,1219090,9.377,0.011,31.86,0,486,486,0.1,,0.427,0.001,4.8,36449,6.671,0.022,8.58,0,67074,67074,9.7,2.092,0.1665,5.1564,0.04272,1.59441,3.9,1299,770,1479,0.999,1,2936,-73,2937,660,293.7,46215,Burning,Liquid
14.415,0.1,4396,638,4396,4293,623,4226,1.173,24.6,337,1580,0.999,2547,-56,2549,370,1847,268,1677,243,2.82,73.3,10.6,828,1.662,0.002,7.55E-05,4.8,1217252,9.376,0.011,31.82,0,484,484,0.1,,0.426,0.001,4.8,36389,6.67,0.022,8.57,0,66880,66880,9.7,2.089,0.1662,4.99,0.04265,1.55169,3.9,1299,770,1479,0.998,1,2930,-70,2931,659,293.1,46508,Burning,Liquid
14.515,0.1,4387,636,4386,4283,621,4216,1.173,24.6,337,1580,0.998,2544,-50,2544,369,1842,267,1673,243,2.82,73.1,10.6,832,1.662,0.002,7.62E-05,4.8,1206384,9.369,0.011,31.67,0,483,483,0.1,,0.426,0.001,4.8,36335,6.669,0.022,8.55,0,66704,66704,9.7,2.087,0.1662,4.8238,0.04259,1.50904,3.9,1299,770,1479,0.998,1,2928,-31,2926,658,292.6,46801,Burning,Liquid
14.615,0.1,4377,635,4377,4274,620,4207,1.173,24.6,337,1580,0.998,2542,-17,2541,368,1836,266,1666,242,2.82,73,10.6,832,1.66,0.002,7.62E-05,4.8,1205184,9.369,0.011,31.64,0,482,482,0.1,,0.425,0.001,4.8,36276,6.668,0.022,8.54,0,66511,66511,9.6,2.085,0.166,4.6576,0.04252,1.46645,3.9,1299,770,1479,0.998,1,2924,-23,2923,657,292.3,47094,Burning,Liquid
14.715,0.1,4368,634,4367,4264,619,4198,1.173,24.6,337,1580,0.999,2539,-13,2538,368,1829,265,1660,241,2.82,73,10.6,832,1.657,0.002,7.62E-05,4.8,1203417,9.368,0.011,31.59,0,480,480,0.1,,0.424,0.001,4.8,36208,6.666,0.023,8.53,0,66292,66292,9.6,2.082,0.1657,4.4916,0.04244,1.42394,3.91,1299,770,1479,0.999,1,2919,-38,2919,656,291.9,47386,Burning,Liquid
14.815,0.1,4359,632,4358,4255,617,4189,1.173,24.6,337,1580,0.999,2535,-30,2536,368,1822,264,1653,240,2.82,72.9,10.6,832,1.655,0.002,7.62E-05,4.8,1201424,9.366,0.011,31.54,0,479,479,0.1,,0.424,0.001,4.8,36139,6.665,0.023,8.51,0,66068,66068,9.6,2.078,0.1655,4.3259,0.04236,1.3815,3.91,1299,770,1479,0.999,1,2914,-58,2915,655,291.5,47678,Burning,Liquid
14.915,0.1,4349,631,4349,4246,616,4180,1.173,24.6,337,1580,0.999,2531,-47,2532,367,1817,263,1648,239,2.82,72.8,10.6,832,1.652,0.002,7.62E-05,4.8,1199488,9.365,0.011,31.49,0,478,478,0.1,,0.423,0.001,4.8,36074,6.663,0.023,8.49,0,65859,65859,9.6,2.075,0.1652,4.1604,0.04228,1.33915,3.91,1299,770,1479,0.998,1,2908,-66,2909,654,290.9,47970,Burning,Liquid
15.015,0.1,4340,629,4339,4236,614,4171,1.173,24.6,337,1580,0.999,2527,-52,2528,367,1812,263,1643,238,2.82,72.7,10.5,832,1.65,0.002,7.62E-05,4.8,1197707,9.364,0.011,31.44,0,476,476,0.1,,0.422,0.001,4.8,36016,6.662,0.023,8.48,0,65671,65671,9.5,2.072,0.165,3.9952,0.04221,1.29687,3.91,1299,770,1479,0.998,1,2903,-62,2903,653,290.3,48261,Burning,Liquid
15.115,0.1,4330,628,4330,4227,613,4161,1.173,24.6,337,1580,0.998,2523,-46,2523,366,1807,262,1638,238,2.82,72.5,10.5,835,1.649,0.002,7.69E-05,4.7,1187050,9.357,0.011,31.3,0,475,475,0.1,,0.421,0.001,4.8,35962,6.661,0.023,8.47,0,65495,65495,9.5,2.07,0.1649,3.8303,0.04215,1.25466,3.91,1299,770,1479,0.998,1,2900,-27,2899,652,289.9,48551,Burning,Liquid
15.215,0.1,4321,627,4321,4218,612,4152,1.173,24.6,337,1580,0.998,2522,-16,2520,366,1801,261,1632,237,2.82,72.4,10.5,835,1.647,0.002,7.69E-05,4.7,1185807,9.357,0.011,31.27,0,474,474,0.1,,0.421,0.001,4.8,35901,6.66,0.023,8.45,0,65299,65299,9.5,2.068,0.1647,3.6654,0.04208,1.21251,3.92,1299,770,1479,0.999,1,2896,-24,2895,651,289.5,48841,Burning,Liquid
15.315,0.1,4312,625,4311,4208,610,4143,1.173,24.6,337,1580,0.999,2519,-15,2518,365,1793,260,1625,236,2.82,72.4,10.5,835,1.645,0.002,7.69E-05,4.7,1184024,9.355,0.011,31.22,0,472,472,0.1,,0.42,0.001,4.8,35833,6.658,0.023,8.44,0,65080,65080,9.4,2.065,0.1645,3.5006,0.042,1.17043,3.92,1299,770,1479,0.999,1,2891,-42,2892,650,289.2,49130,Burning,Liquid
15.415,0.1,4302,624,4302,4199,609,4134,1.173,24.6,337,1580,0.999,2515,-32,2515,365,1787,259,1619,235,2.82,72.3,10.5,835,1.642,0.002,7.69E-05,4.7,1182051,9.354,0.011,31.17,0,471,471,0.1,,0.419,0.001,4.7,35764,6.657,0.023,8.42,0,64859,64859,9.4,2.061,0.1642,3.3361,0.04192,1.12844,3.92,1299,770,1479,0.999,1,2886,-60,2887,649,288.7,49419,Burning,Liquid
15.515,0.1,4293,623,4293,4190,608,4125,1.173,24.6,337,1580,0.999,2510,-48,2511,364,1781,258,1614,234,2.82,72.2,10.5,835,1.639,0.002,7.69E-05,4.7,1180151,9.353,0.011,31.12,0,469,469,0.1,,0.418,0.001,4.7,35700,6.655,0.023,8.41,0,64654,64654,9.4,2.058,0.1639,3.1719,0.04184,1.08652,3.92,1299,770,1479,0.998,1,2880,-66,2881,648,288.1,49708,Burning,Liquid
15.615,0.1,4284,621,4283,4180,606,4116,1.173,24.6,337,1580,0.999,2506,-52,2507,364,1777,258,1609,233,2.82,72.1,10.5,835,1.637,0.002,7.69E-05,4.7,1178403,9.352,0.011,31.07,0,468,468,0.1,,0.418,0.001,4.7,35643,6.654,0.023,8.39,0,64470,64470,9.4,2.055,0.1637,3.008,0.04177,1.04468,3.92,1299,770,1479,0.998,1,2875,-61,2875,646,287.5,49996,Burning,Liquid
15.715,0.1,4275,620,4274,4171,605,4107,1.173,24.6,337,1580,0.998,2502,-45,2502,363,1772,257,1604,233,2.82,71.9,10.4,839,1.636,0.002,7.75E-05,4.7,1168005,9.345,0.011,30.93,0,467,467,0.1,,0.417,0.001,4.7,35588,6.653,0.023,8.38,0,64296,64296,9.3,2.053,0.1636,2.8443,0.04171,1.00291,3.92,1299,770,1479,0.998,1,2873,-27,2871,645,287.1,50284,Burning,Gas
15.815,0.1,4169,605,4169,4066,590,4001,1.173,24.6,337,1580,1,2501,-15,2502,363,1667,242,1499,217,2.82,71.9,10.4,121,0.602,0.005,1.66E-05,12,2009471,9.783,0.01,78.96,0,400,400,0.1,,0.403,0.001,4.6,34352,6.623,0.023,8.09,0,60457,60457,8.8,1.005,0.0602,2.6806,0.04026,0.9612,1.5,576,341,985,0.999,1,859,-20123,1864,419,186.4,50571,Burning,Gas
15.915,0.1,4066,590,4066,3963,575,3902,1.246,17.8,468,1401,1,1085,-14168,1794,260,2272,330,2109,306,2.93,46.6,6.8,117,0.647,0.006,1.64E-05,13.3,2177334,9.81,0.01,87.75,0,475,475,0.1,,0.44,0.001,5,37545,6.703,0.022,8.84,0,70490,70490,10.2,1.087,0.0647,2.6204,0.044,0.92094,1.47,569,277,1119,0.649,1,951,-9133,1241,279,124.1,50757,Burning,Gas
16.015,0.1,3966,575,3965,3862,560,3792,1.253,17.7,471,1308,0.717,1096,-6973,1290,187,2676,388,2502,363,3.03,28.4,4.1,113,0.692,0.006,1.63E-05,14.7,2350462,9.868,0.01,97.14,0,556,556,0.1,,0.48,0.001,5.4,40961,6.768,0.022,9.64,0,82301,82301,11.9,1.172,0.0692,2.5557,0.04801,0.87693,1.44,564,261,1129,0.666,1,963,-2780,941,212,94.1,50881,Burning,Gas
16.115,0.1,3868,561,3867,3764,546,3682,1.261,17.6,472,1259,0.719,1138,-1514,1054,153,2813,408,2628,381,3.03,23.5,3.4,109,0.718,0.007,1.62E-05,15.8,2458722,9.898,0.01,104.2,0,615,615,0.1,,0.507,0.001,5.7,43220,6.806,0.022,10.18,0,90607,90607,13.1,1.225,0.0718,2.4865,0.05065,0.82893,1.42,561,255,1123,0.758,1,988,469,845,190,84.5,50975,Burning,Gas
16.215,0.1,3772,547,3772,3669,532,3578,1.267,17.6,473,1233,0.817,1164,1103,1003,145,2769,402,2575,374,3.03,22.5,3.3,106,0.722,0.007,1.60E-05,16.4,2492349,9.906,0.01,108.33,0,642,642,0.1,,0.517,0.001,5.9,44121,6.819,0.022,10.39,0,94064,94064,13.6,1.239,0.0722,2.4146,0.05171,0.77827,1.4,559,251,1117,0.898,1,992,1468,868,195,86.8,51060,Burning,Gas
16.315,0.1,3679,534,3679,3576,519,3482,1.274,17.5,474,1218,0.951,1164,1609,1055,153,2623,380,2427,352,3.03,23.9,3.5,102,0.695,0.007,1.59E-05,16.3,2418264,9.882,0.01,107.78,0,617,617,0.1,,0.512,0.001,5.8,43702,6.809,0.022,10.29,0,92554,92554,13.4,1.207,0.0695,2.3424,0.05122,0.72656,1.36,505,224,1058,1,1,894,267,881,198,88.1,51147,Burning,Gas
16.415,0.1,3588,520,3588,3485,505,3392,1.195,17.6,473,1195,1,1112,565,1083,157,2504,363,2309,335,2.82,32.1,4.7,99,0.668,0.007,1.58E-05,16.2,2342458,9.859,0.01,107.08,0,592,592,0.1,,0.5,0.001,5.7,42630,6.789,0.022,10.04,0,88595,88595,12.8,1.167,0.0668,2.273,0.04996,0.67535,1.34,505,285,1075,1,1,914,328,897,202,89.7,51235,Burning,Gas
16.515,0.1,3500,508,3499,3396,493,3308,1.195,17.6,473,1183,1,1064,-190,1074,156,2425,352,2234,324,2.82,31.9,4.6,97,0.652,0.007,1.57E-05,16.1,2295165,9.845,0.01,106.25,0,575,575,0.1,,0.491,0.001,5.6,41930,6.777,0.022,9.87,0,86009,86009,12.5,1.143,0.0652,2.2062,0.04914,0.62538,1.33,505,285,1075,1,1,887,-107,892,201,89.2,51325,Burning,Gas
16.615,0.1,3413,495,3413,3310,480,3224,1.195,17.6,473,1177,0.991,1037,-368,1051,152,2362,343,2173,315,2.82,31.2,4.5,94,0.632,0.007,1.56E-05,16.2,2245201,9.829,0.01,106.6,0,562,562,0.1,,0.485,0.001,5.5,41355,6.767,0.022,9.74,0,83924,83924,12.2,1.117,0.0632,2.141,0.04847,0.57624,1.3,505,285,1075,0.994,1,856,-362,872,196,87.2,51414,Burning,Gas
16.715,0.1,3329,483,3329,3226,468,3142,1.195,17.6,473,1174,0.979,1011,-399,1020,148,2308,335,2122,308,2.82,30.3,4.4,91,0.615,0.007,1.55E-05,16.3,2200189,9.814,0.01,107.15,0,551,551,0.1,,0.479,0.001,5.4,40863,6.758,0.022,9.62,0,82156,82156,11.9,1.094,0.0615,2.0778,0.04789,0.52777,1.28,505,285,1075,0.977,1,827,-448,840,189,84,51501,Burning,Gas
16.815,0.1,3247,471,3246,3143,456,3061,1.195,17.6,473,1173,0.971,989,-314,990,144,2256,327,2071,300,2.82,29.4,4.3,88,0.598,0.007,1.53E-05,16.3,2155848,9.8,0.01,107.69,0,540,540,0.1,,0.473,0.001,5.4,40376,6.749,0.022,9.51,0,80429,80429,11.7,1.071,0.0598,2.0163,0.04732,0.47988,1.26,499,281,1068,0.963,1,791,-485,801,180,80.1,51585,Burning,Gas
16.915,0.1,3167,459,3166,3063,444,2983,1.194,17.5,475,1170,0.97,966,-239,964,140,2202,319,2019,293,2.82,28.6,4.1,85,0.581,0.007,1.52E-05,16.4,2110952,9.784,0.01,108.17,0,529,529,0.1,,0.467,0.001,5.3,39864,6.739,0.022,9.39,0,78631,78631,11.4,1.048,0.0581,1.9565,0.04672,0.43256,1.24,499,281,1071,0.954,1,766,-349,766,172,76.6,51665,Burning,Gas
17.015,0.1,3089,448,3088,2985,433,2906,1.194,17.5,475,1169,0.974,944,-193,942,137,2146,311,1965,285,2.82,27.9,4,84,0.569,0.007,1.52E-05,16.3,2074476,9.772,0.01,107.66,0,517,517,0.1,,0.461,0.001,5.2,39325,6.728,0.022,9.26,0,76758,76758,11.1,1.03,0.0569,1.8984,0.04609,0.38584,1.23,499,281,1071,0.956,1,743,-226,738,166,73.8,51742,Burning,Gas
17.115,0.1,3012,437,3012,2909,422,2832,1.194,17.5,475,1168,0.977,927,-143,924,134,2088,303,1908,277,2.82,27.4,4,81,0.552,0.007,1.51E-05,16.4,2027474,9.755,0.011,107.95,0,504,504,0.1,,0.454,0.001,5.1,38755,6.717,0.022,9.12,0,74799,74799,10.8,1.006,0.0552,1.8415,0.04542,0.33975,1.22,499,281,1071,0.964,1,715,-226,714,160,71.4,51815,Burning,Gas
17.215,0.1,2938,426,2937,2834,411,2760,1.194,17.5,475,1168,0.981,906,-180,906,131,2031,295,1854,269,2.82,26.9,3.9,78,0.536,0.007,1.50E-05,16.4,1981291,9.738,0.011,108.24,0,492,492,0.1,,0.448,0.001,5.1,38194,6.706,0.022,8.99,0,72892,72892,10.6,0.983,0.0536,1.7863,0.04476,0.29433,1.2,499,281,1071,0.967,1,689,-254,690,155,69,51887,Burning,Gas
17.315,0.1,2865,416,2865,2762,401,2689,1.194,17.5,475,1167,0.981,885,-213,887,129,1978,287,1802,261,2.82,26.3,3.8,77,0.524,0.007,1.49E-05,16.3,1946054,9.725,0.011,107.69,0,481,481,0.1,,0.441,0.001,5,37659,6.695,0.022,8.87,0,71092,71092,10.3,0.966,0.0524,1.7327,0.04414,0.24956,1.19,499,281,1071,0.966,1,667,-230,667,150,66.7,51956,Burning,Gas
17.415,0.1,2795,405,2794,2691,390,2620,1.194,17.5,475,1167,0.979,869,-182,869,126,1925,279,1751,254,2.82,25.8,3.7,75,0.509,0.007,1.48E-05,16.4,1902096,9.708,0.011,108.01,0,469,469,0.1,,0.435,0.001,4.9,37126,6.684,0.022,8.74,0,69318,69318,10.1,0.944,0.0509,1.6803,0.04351,0.20543,1.17,499,281,1071,0.967,1,641,-259,644,145,64.4,52022,Burning,Gas
17.515,0.1,2726,395,2725,2622,380,2553,1.194,17.5,475,1167,0.979,849,-195,850,123,1875,272,1703,247,2.82,25.2,3.7,72,0.494,0.007,1.47E-05,16.4,1859385,9.691,0.011,108.36,0,459,459,0.1,,0.429,0.001,4.9,36605,6.673,0.022,8.62,0,67607,67607,9.8,0.923,0.0494,1.6294,0.0429,0.16191,1.15,499,281,1071,0.965,1,616,-274,619,139,61.9,52087,Burning,Gas
17.615,0.1,2658,386,2658,2555,371,2487,1.194,17.5,475,1167,0.979,830,-200,832,121,1826,265,1656,240,2.82,24.6,3.6,70,0.479,0.007,1.46E-05,16.5,1817778,9.674,0.011,108.73,0,448,448,0.1,,0.423,0.001,4.8,36099,6.663,0.023,8.5,0,65960,65960,9.6,0.903,0.0479,1.58,0.04231,0.11901,1.13,499,281,1071,0.962,1,592,-271,594,134,59.4,52149,Burning,Gas
17.715,0.1,2593,376,2592,2489,361,2423,1.194,17.5,475,1167,0.978,812,-194,813,118,1779,258,1610,234,2.82,24.1,3.5,69,0.469,0.007,1.45E-05,16.4,1785638,9.661,0.011,108.21,0,438,438,0.1,,0.417,0.001,4.7,35602,6.652,0.023,8.38,0,64361,64361,9.3,0.887,0.0469,1.5321,0.04173,0.0767,1.12,476,269,1046,0.96,1,551,-433,562,126,56.2,52208,Burning,Gas
17.815,0.1,2529,367,2528,2425,352,2361,1.153,16.8,494,1151,0.978,787,-258,791,115,1737,252,1570,228,2.82,22,3.2,67,0.456,0.007,1.44E-05,16.5,1747391,9.645,0.011,108.7,0,429,429,0.1,,0.412,0.001,4.7,35150,6.642,0.023,8.28,0,62919,62919,9.1,0.868,0.0456,1.4851,0.0412,0.03498,1.11,476,296,1100,0.945,1,567,59,549,123,54.9,52264,Burning,Gas
17.915,0.1,2466,358,2466,2363,343,2300,1.153,16.8,494,1144,0.973,765,-258,768,111,1698,246,1532,222,2.82,21.4,3.1,64,0.444,0.007,1.43E-05,16.6,1710734,9.629,0.011,109.26,0,421,421,0.1,,0.407,0.001,4.6,34723,6.633,0.023,8.18,0,61574,61574,8.9,0.851,0.0444,1.4395,0,0,1.09,469,292,1092,0.977,1,538,-110,537,121,53.7,52319,FD,Gas
