Distance (um),Si,Cr,Fe,Ni,,
0.000000,0.001993,0.022294,0.975713,0.000000,,
0.795547,0.001461,0.030510,0.962303,0.005726,,
1.591094,0.002444,0.023799,0.971917,0.001841,,
2.386641,0.002730,0.022222,0.975048,0.000000,,
3.182188,0.002636,0.026898,0.970466,0.000000,,
3.977734,0.001810,0.025160,0.972680,0.000350,,
4.773281,0.002308,0.028076,0.969616,0.000000,,
5.568828,0.003042,0.024339,0.969325,0.003294,,
6.364375,0.003660,0.023471,0.939496,0.033374,,
7.159922,0.022967,0.033780,0.613928,0.329326,,
7.955469,0.023451,0.031384,0.529625,0.415541,,
8.751016,0.056965,0.047928,0.431580,0.463528,,
9.546563,0.052272,0.081738,0.446377,0.419612,,
10.342109,0.053730,0.067308,0.431149,0.447813,,
11.137656,0.059262,0.060722,0.426250,0.453766,,
11.933203,0.087378,0.064871,0.411406,0.436345,,
12.728750,0.083322,0.065652,0.390053,0.460973,,
13.524297,0.117617,0.098882,0.385397,0.398104,,
14.319844,0.055657,0.061182,0.405320,0.477841,,
15.115391,0.082245,0.054981,0.379109,0.483665,,
15.910938,0.073337,0.070698,0.383322,0.472643,,
16.706484,0.085039,0.149439,0.386200,0.379322,,
17.502031,0.015362,0.060792,0.432461,0.491385,,
18.297578,0.034373,0.049445,0.379191,0.536990,,
19.093125,0.062250,0.052946,0.370409,0.514395,,
19.888672,0.038427,0.058533,0.354320,0.548720,,
20.684219,0.055194,0.066487,0.361942,0.516376,,
21.479766,0.060909,0.059502,0.357470,0.522119,,
22.275313,0.036455,0.038787,0.362545,0.562212,,
23.070859,0.043099,0.037598,0.358467,0.560835,,
23.866406,0.047809,0.042956,0.344400,0.564836,,
24.661953,0.042315,0.037521,0.350962,0.569202,,
25.457500,0.032008,0.044100,0.367992,0.555899,,
26.253047,0.035930,0.037233,0.329715,0.597122,,
27.048594,0.122635,0.101070,0.284117,0.492178,,
27.844141,0.032037,0.037227,0.343759,0.586977,,
28.639688,0.043382,0.034670,0.322791,0.599158,,
29.435234,0.054258,0.047007,0.323006,0.575730,,
30.230781,0.034057,0.039503,0.333138,0.593302,,
31.026328,0.032240,0.043864,0.318536,0.605360,,
31.821875,0.031754,0.032234,0.307918,0.628094,,
32.617422,0.064622,0.060183,0.268645,0.606550,,
33.412969,0.032375,0.039526,0.304533,0.623566,,
34.208516,0.032542,0.038063,0.298370,0.631025,,
35.004063,0.053504,0.051878,0.286920,0.607698,,
35.799609,0.037434,0.038481,0.287572,0.636513,,
36.595156,0.037243,0.032748,0.287553,0.642457,,
37.390703,0.029534,0.031967,0.286043,0.652456,,
38.186250,0.036854,0.040535,0.291565,0.631046,,
38.981797,0.036578,0.042461,0.276888,0.644073,,
39.777344,0.043917,0.048209,0.259896,0.647979,,
40.572891,0.038019,0.045970,0.260695,0.655316,,
41.368438,0.032803,0.033572,0.271066,0.662559,,
42.163984,0.054901,0.057271,0.234823,0.653005,,
42.959531,0.041105,0.045247,0.248295,0.665353,,
43.755078,0.037937,0.035066,0.240760,0.686236,,
44.550625,0.041506,0.048235,0.220472,0.689788,,
45.346172,0.032054,0.036319,0.225731,0.705895,,
46.141719,0.086548,0.072381,0.153382,0.687689,,
46.937266,0.042916,0.034946,0.210238,0.711900,,
47.732813,0.184523,0.126169,0.122472,0.566836,,
48.528359,0.117278,0.078205,0.141017,0.663501,,
49.323906,0.045001,0.045193,0.151098,0.758709,,
50.119453,0.018444,0.027844,0.203591,0.750120,,
50.915000,0.027414,0.035230,0.220777,0.716579,,
51.710547,0.191943,0.130191,0.117460,0.560406,,
52.506094,0.023177,0.036095,0.224969,0.715759,,
53.301641,0.024344,0.029248,0.204636,0.741772,,
54.097188,0.007033,0.041421,0.149179,0.802367,,
54.892734,0.024913,0.047376,0.147012,0.780699,,
55.688281,0.067405,0.065465,0.127630,0.739500,,
56.483828,0.072960,0.044571,0.162483,0.719987,,
57.279375,0.269697,0.158330,0.078736,0.493238,,
58.074922,0.038179,0.041227,0.134465,0.786129,,
58.870469,0.033335,0.053297,0.123776,0.789592,,
59.666016,0.027139,0.041597,0.131816,0.799449,,
60.461563,0.075767,0.076510,0.111827,0.735896,,
61.257109,0.236916,0.146713,0.054158,0.562213,,
62.052656,0.057482,0.042679,0.136139,0.763701,,
62.848203,0.040646,0.037513,0.161056,0.760785,,
63.643750,0.038297,0.042555,0.168773,0.750376,,
64.439297,0.041311,0.038694,0.170835,0.749160,,
65.234844,0.026174,0.033809,0.186089,0.753928,,
66.030391,0.023777,0.048374,0.132350,0.795500,,
66.825938,0.031059,0.032681,0.166809,0.769451,,
67.621484,0.031139,0.031139,0.166557,0.771165,,
68.417031,0.021827,0.028801,0.151158,0.798214,,
69.212578,0.041258,0.043062,0.146467,0.769212,,1.000000
70.008125,0.286367,0.175940,0.027532,0.510160,,
70.803672,0.283724,0.156930,0.044183,0.515163,,
71.599219,0.276659,0.163947,0.026603,0.532791,,
72.394766,0.042637,0.044727,0.152490,0.760147,,
73.190313,0.025947,0.032586,0.174767,0.766701,,
73.985859,0.025223,0.034281,0.164410,0.776086,,
74.781406,0.238054,0.162474,0.038849,0.560623,,
75.576953,0.053737,0.048416,0.136070,0.761777,,
76.372500,0.035127,0.040735,0.154358,0.769779,,
77.168047,0.043826,0.031164,0.135750,0.789261,,
77.963594,0.048010,0.048324,0.133765,0.769900,,
78.759141,0.050084,0.046674,0.126633,0.776608,,
79.554688,0.039632,0.034600,0.140184,0.785584,,
80.350234,0.102575,0.084634,0.101124,0.711668,,
81.145781,0.020597,0.030615,0.120986,0.827803,,
81.941328,0.038773,0.033562,0.149773,0.777892,,
82.736875,0.035361,0.031870,0.139820,0.792949,,
83.532422,0.034287,0.028473,0.136300,0.800941,,
84.327969,0.037128,0.033849,0.125759,0.803264,,
85.123516,0.026391,0.037405,0.130109,0.806095,,
85.919063,0.033420,0.040191,0.124948,0.801440,,
86.714609,0.040387,0.036696,0.136545,0.786372,,
87.510156,0.036999,0.046834,0.124008,0.792159,,
88.305703,0.039853,0.039619,0.114263,0.806265,,
89.101250,0.040814,0.039848,0.122101,0.797238,,
89.896797,0.035265,0.037534,0.125435,0.801766,,
90.692344,0.036183,0.038544,0.118541,0.806732,,
91.487891,0.036953,0.044320,0.131275,0.787453,,
92.283438,0.042884,0.040917,0.118613,0.797587,,
93.078984,0.039021,0.039090,0.118344,0.803546,,
93.874531,0.031788,0.040778,0.117767,0.809668,,
94.670078,0.009693,0.030281,0.092453,0.867573,,
95.465625,0.016119,0.025202,0.093622,0.865057,,
96.261172,0.024756,0.024871,0.117915,0.832458,,
97.056719,0.011566,0.033113,0.101495,0.853827,,
97.852266,0.012570,0.026049,0.095572,0.865808,,
98.647812,0.035657,0.028092,0.115020,0.821231,,
99.443359,0.037613,0.034856,0.108948,0.818583,,
100.238906,0.030914,0.041161,0.124955,0.802971,,
101.034453,0.038713,0.033724,0.117557,0.810006,,