X_(px),Y_deviation_(px)
3,-55.634
6,-55.634
9,-55.634
12,-55.634
15,-55.634
15,-58.634
15,-61.634
15,-64.634
18,-67.634
18,-70.634
21,-70.634
21,-73.634
24,-73.634
27,-73.634
27,-76.634
27,-79.634
30,-79.634
30,-82.634
33,-82.634
33,-85.634
36,-85.634
36,-82.634
39,-82.634
39,-79.634
39,-76.634
39,-73.634
39,-70.634
39,-67.634
39,-64.634
39,-61.634
39,-58.634
39,-55.634
42,-55.634
42,-52.634
42,-49.634
42,-46.634
42,-43.634
42,-40.634
42,-37.634
42,-34.634
45,-34.634
45,-31.634
48,-31.634
51,-25.634
54,-25.634
57,-22.634
60,-22.634
63,-19.634
66,-19.634
69,-19.634
72,-19.634
75,-19.634
78,-19.634
81,-22.634
81,-25.634
84,-25.634
87,-25.634
87,-28.634
87,-31.634
90,-31.634
90,-34.634
90,-37.634
93,-37.634
93,-40.634
93,-43.634
93,-46.634
93,-49.634
93,-52.634
93,-55.634
96,-55.634
99,-55.634
99,-58.634
102,-58.634
105,-58.634
108,-55.634
111,-55.634
114,-55.634
117,-55.634
120,-52.634
123,-49.634
126,-49.634
129,-49.634
132,-46.634
135,-46.634
138,-46.634
141,-46.634
144,-43.634
147,-43.634
150,-43.634
150,-40.634
153,-40.634
153,-37.634
156,-37.634
159,-37.634
162,-37.634
165,-37.634
168,-37.634
168,-40.634
171,-40.634
174,-40.634
174,-43.634
177,-43.634
180,-43.634
180,-46.634
183,-46.634
186,-46.634
189,-46.634
192,-46.634
192,-49.634
195,-49.634
198,-49.634
201,-49.634
201,-52.634
201,-55.634
204,-55.634
207,-55.634
210,-55.634
213,-55.634
216,-55.634
219,-55.634
222,-55.634
225,-55.634
228,-55.634
228,-52.634
231,-49.634
237,-46.634
240,-46.634
243,-46.634
249,-43.634
255,-43.634
258,-40.634
264,-37.634
267,-37.634
270,-37.634
276,-34.634
279,-34.634
282,-34.634
285,-34.634
288,-34.634
291,-34.634
294,-34.634
297,-34.634
300,-34.634
303,-34.634
306,-34.634
309,-34.634
309,-31.634
312,-31.634
315,-31.634
318,-31.634
321,-31.634
324,-31.634
327,-31.634
333,-31.634
339,-31.634
342,-31.634
345,-31.634
348,-31.634
351,-31.634
354,-31.634
357,-31.634
360,-34.634
363,-34.634
366,-34.634
369,-34.634
372,-34.634
375,-34.634
378,-34.634
381,-34.634
384,-34.634
387,-34.634
390,-34.634
393,-34.634
399,-31.634
405,-31.634
411,-31.634
414,-31.634
417,-28.634
420,-28.634
423,-28.634
423,-25.634
426,-25.634
429,-25.634
432,-25.634
435,-25.634
435,-22.634
438,-22.634
441,-22.634
444,-22.634
447,-22.634
450,-22.634
453,-22.634
456,-22.634
459,-22.634
462,-22.634
462,-25.634
465,-25.634
468,-25.634
471,-25.634
471,-28.634
474,-28.634
474,-31.634
477,-31.634
480,-31.634
483,-34.634
486,-34.634
486,-37.634
489,-37.634
492,-37.634
492,-40.634
492,-43.634
495,-43.634
495,-46.634
495,-49.634
498,-49.634
498,-52.634
501,-55.634
501,-58.634
504,-58.634
504,-61.634
507,-61.634
507,-64.634
507,-67.634
510,-67.634
510,-64.634
513,-64.634
516,-61.634
519,-58.634
519,-55.634
522,-52.634
525,-49.634
525,-46.634
528,-46.634
531,-43.634
534,-43.634
534,-40.634
537,-40.634
537,-37.634
540,-37.634
543,-37.634
546,-37.634
549,-37.634
552,-37.634
555,-37.634
555,-34.634
558,-34.634
561,-34.634
564,-34.634
567,-31.634
570,-31.634
570,-28.634
573,-25.634
576,-25.634
579,-22.634
582,-22.634
585,-19.634
588,-19.634
591,-19.634
594,-19.634
597,-19.634
600,-19.634
603,-19.634
606,-19.634
609,-19.634
612,-19.634
615,-19.634
618,-19.634
621,-19.634
624,-19.634
624,-22.634
627,-22.634
630,-22.634
633,-22.634
636,-22.634
639,-22.634
642,-22.634
645,-22.634
645,-19.634
648,-19.634
651,-19.634
654,-19.634
654,-16.634
657,-13.634
660,-13.634
660,-10.634
663,-10.634
666,-7.634
669,-7.634
669,-4.634
672,-4.634
675,-1.634
678,-1.634
681,-1.634
684,-1.634
687,-1.634
690,-1.634
693,-1.634
696,-1.634
696,1.366
699,1.366
702,1.366
705,1.366
708,1.366
711,1.366
714,1.366
717,1.366
720,1.366
723,1.366
726,1.366
729,1.366
732,1.366
735,1.366
738,1.366
741,4.366
744,4.366
747,4.366
750,4.366
753,7.366
756,7.366
759,4.366
762,4.366
765,4.366
768,4.366
771,4.366
771,1.366
774,1.366
777,-1.634
780,-4.634
780,-7.634
780,-10.634
783,-10.634
786,-10.634
789,-10.634
792,-10.634
795,-10.634
804,-10.634
810,-7.634
816,-7.634
816,-4.634
822,-4.634
825,-1.634
828,-1.634
828,1.366
831,1.366
834,4.366
834,7.366
837,7.366
843,10.366
846,10.366
849,10.366
852,10.366
855,10.366
858,10.366
861,10.366
864,10.366
864,7.366
864,4.366
864,1.366
867,1.366
867,-1.634
870,-1.634
873,-1.634
873,-4.634
873,-7.634
876,-7.634
876,-10.634
879,-13.634
882,-13.634
882,-16.634
885,-16.634
885,-19.634
888,-19.634
888,-22.634
891,-22.634
894,-16.634
897,-13.634
897,-10.634
900,-10.634
900,-4.634
903,-1.634
906,1.366
906,4.366
906,7.366
906,10.366
909,10.366
909,13.366
912,13.366
912,16.366
915,16.366
918,16.366
921,16.366
924,16.366
927,16.366
930,16.366
933,16.366
936,16.366
939,16.366
939,13.366
942,13.366
945,13.366
948,13.366
951,13.366
954,13.366
957,13.366
960,13.366
963,13.366
966,13.366
969,13.366
972,13.366
972,16.366
975,16.366
981,16.366
981,19.366
984,19.366
987,19.366
990,16.366
993,16.366
993,13.366
996,13.366
999,10.366
1002,10.366
1002,7.366
1002,4.366
1005,1.366
1008,1.366
1011,1.366
1014,1.366
1017,1.366
1020,1.366
1023,1.366
1029,1.366
1035,1.366
1041,1.366
1044,1.366
1044,4.366
1041,7.366
1041,10.366
1041,13.366
1044,13.366
1047,16.366
1053,16.366
1056,16.366
1059,16.366
1062,16.366
1065,16.366
1068,16.366
1071,16.366
1077,16.366
1083,16.366
1086,16.366
1089,16.366
1092,16.366
1095,16.366
1098,16.366
1101,16.366
1101,13.366
1104,13.366
1107,13.366
1107,10.366
1110,10.366
1113,10.366
1116,10.366
1119,10.366
1122,10.366
1125,10.366
1131,10.366
1134,10.366
1140,10.366
1143,10.366
1146,10.366
1149,10.366
1152,10.366
1155,10.366
1158,10.366
1161,10.366
1164,7.366
1167,7.366
1170,7.366
1173,7.366
1176,7.366
1182,7.366
1185,7.366
1188,7.366
1191,7.366
1194,7.366
1194,4.366
1197,4.366
1200,4.366
1203,4.366
1206,4.366
1209,4.366
1212,4.366
1215,4.366
1215,7.366
1218,7.366
1218,10.366
1221,10.366
1224,10.366
1230,10.366
1233,7.366
1233,4.366
1236,1.366
1239,-1.634
1239,-4.634
1242,-4.634
1242,-7.634
1242,-10.634
1245,-10.634
1245,-7.634
1245,-4.634
1248,-4.634
1251,-4.634
1251,-1.634
1251,1.366
1251,4.366
1251,7.366
1254,7.366
1254,10.366
1254,13.366
1257,13.366
1260,13.366
1263,13.366
1266,13.366
1269,13.366
1272,13.366
1275,13.366
1278,13.366
1281,13.366
1284,13.366
1287,13.366
1290,13.366
1293,13.366
1299,13.366
1302,13.366
1305,13.366
1308,13.366
1311,13.366
1314,13.366
1317,13.366
1320,13.366
1323,13.366
1326,13.366
1329,13.366
1332,16.366
1335,16.366
1338,16.366
1341,16.366
1344,16.366
1344,19.366
1347,19.366
1350,22.366
1350,19.366
1350,16.366
1350,13.366
1350,10.366
1353,10.366
1353,7.366
1356,7.366
1356,4.366
1362,4.366
1365,4.366
1368,7.366
1374,10.366
1380,10.366
1383,13.366
1386,13.366
1392,13.366
1392,16.366
1395,16.366
1398,16.366
1401,16.366
1404,16.366
1407,16.366
1410,16.366
1413,16.366
1416,16.366
1419,16.366
1425,16.366
1428,16.366
1431,16.366
1434,16.366
1434,19.366
1437,19.366
1440,22.366
1443,25.366
1443,28.366
1449,28.366
1452,28.366
1455,28.366
1458,28.366
1461,28.366
1464,28.366
1467,28.366
1470,28.366
1473,28.366
1476,28.366
1479,28.366
1482,28.366
1485,28.366
1488,28.366
1488,25.366
1491,25.366
1494,25.366
1494,22.366
1497,19.366
1497,16.366
1497,13.366
1497,10.366
1497,7.366
1500,7.366
1503,7.366
1506,7.366
1509,7.366
1515,7.366
1518,10.366
1524,10.366
1524,13.366
1527,13.366
1530,13.366
1533,13.366
1536,16.366
1539,16.366
1545,16.366
1548,16.366
1551,19.366
1554,19.366
1557,19.366
1560,19.366
1563,19.366
1566,16.366
1569,16.366
1572,16.366
1575,16.366
1578,16.366
1584,16.366
1587,16.366
1590,16.366
1593,16.366
1596,16.366
1599,16.366
1602,16.366
1605,16.366
1608,16.366
1611,16.366
1614,16.366
1617,16.366
1620,16.366
1623,13.366
1626,13.366
1629,13.366
1632,13.366
1635,13.366
1638,13.366
1641,13.366
1647,13.366
1650,13.366
1653,13.366
1656,13.366
1659,13.366
1662,13.366
1665,13.366
1665,10.366
1668,10.366
1671,10.366
1674,10.366
1674,7.366
1677,7.366
1680,7.366
1683,7.366
1686,7.366
1689,7.366
1692,7.366
1695,7.366
1698,7.366
1701,7.366
1704,7.366
1707,7.366
1710,7.366
1713,7.366
1716,7.366
1719,7.366
1722,7.366
1728,7.366
1731,7.366
1734,7.366
1737,7.366
1740,7.366
1743,7.366
1743,4.366
1746,1.366
1749,-1.634
1752,-1.634
1752,-4.634
1755,-4.634
1758,-7.634
1758,-10.634
1761,-10.634
1764,-13.634
1767,-13.634
1770,-13.634
1773,-10.634
1776,-7.634
1779,-4.634
1782,-4.634
1782,-1.634
1785,-1.634
1791,1.366
1800,4.366
1803,4.366
1806,7.366
1809,7.366
1812,7.366
1815,7.366
1818,7.366
1821,10.366
1824,10.366
1827,13.366
1833,16.366
1839,19.366
1842,22.366
1845,22.366
1848,25.366
1851,25.366
1854,25.366
1857,25.366
1860,25.366
1863,25.366
1866,25.366
1866,22.366
1869,22.366
1869,19.366
1872,16.366
1875,16.366
1878,16.366
1881,13.366
1884,13.366
1887,13.366
1890,13.366
1893,13.366
1899,13.366
1899,10.366
1908,10.366
1911,10.366
1917,10.366
1920,10.366
1923,10.366
1926,10.366
1926,13.366
1929,13.366
1932,13.366
1932,16.366
1935,16.366
1935,19.366
1938,19.366
1941,19.366
1944,22.366
1947,25.366
1950,28.366
1953,28.366
1956,28.366
1959,28.366
1962,28.366
1965,28.366
1968,28.366
1971,28.366
1971,25.366
1974,22.366
1974,19.366
1980,19.366
1980,16.366
1983,16.366
1986,16.366
1989,16.366
1992,13.366
1995,13.366
1998,13.366
2001,13.366
2004,13.366
2007,13.366
2010,13.366
2013,13.366
2016,13.366
2016,16.366
2019,16.366
2022,16.366
2025,16.366
2028,16.366
2031,16.366
2034,13.366
2037,13.366
2037,10.366
2043,10.366
2043,7.366
2046,7.366
2049,7.366
2049,4.366
2052,4.366
2055,4.366
2055,1.366
2058,1.366
2061,1.366
2064,1.366
2070,1.366
2073,1.366
2076,1.366
2079,1.366
2082,1.366
2085,4.366
2088,4.366
2088,7.366
2091,7.366
2094,7.366
2097,7.366
2100,7.366
2103,7.366
2103,4.366
2106,4.366
2109,1.366
2112,1.366
2115,1.366
2118,-1.634
2121,-1.634
2124,-1.634
2130,-1.634
2133,-4.634
2133,-1.634
2133,4.366
2133,10.366
2133,13.366
2136,13.366
2139,16.366
2142,16.366
2145,16.366
2148,16.366
2151,16.366
2154,16.366
2157,16.366
2157,19.366
2163,19.366
2166,19.366
2169,22.366
2175,22.366
2178,22.366
2181,22.366
2184,22.366
2187,19.366
2190,19.366
2193,16.366
2196,16.366
2199,16.366
2202,13.366
2205,13.366
2208,10.366
2211,10.366
2214,10.366
2217,10.366
2220,10.366
2223,10.366
2226,7.366
2229,7.366
2232,7.366
2235,7.366
2238,4.366
2235,1.366
2229,1.366
2226,-1.634
2226,-4.634
2229,-7.634
2232,-7.634
2232,-10.634
2235,-10.634
2235,-13.634
2238,-13.634
2241,-13.634
2244,-10.634
2247,-10.634
2250,-10.634
2253,-10.634
2256,-10.634
2259,-10.634
2262,-10.634
2265,-7.634
2268,-7.634
2271,-7.634
2271,-4.634
2274,-4.634
2274,-1.634
2274,1.366
2277,1.366
2280,4.366
2283,4.366
2286,7.366
2289,10.366
2289,13.366
2295,13.366
2295,16.366
2298,19.366
2298,22.366
2301,25.366
2301,28.366
2304,28.366
2304,31.366
2307,31.366
2310,31.366
2313,31.366
2319,31.366
2322,31.366
2325,31.366
2331,28.366
2334,28.366
2337,28.366
2340,25.366
2343,25.366
2346,25.366
2349,25.366
2349,28.366
2346,31.366
2343,34.366
2337,37.366
2334,40.366
2331,40.366
2328,43.366
2325,46.366
2325,49.366
2322,49.366
2322,52.366
2322,55.366
2322,58.366
2322,61.366
2331,61.366
2340,64.366
2346,64.366
2358,64.366
2367,64.366
2370,64.366
2379,64.366
2382,64.366
2391,64.366
2394,64.366
2397,64.366
2397,61.366
2400,61.366
2400,58.366
2403,55.366
2403,52.366
2406,52.366
2406,49.366
2409,49.366
2412,46.366
2415,46.366
2415,43.366
2415,40.366
2415,37.366
2415,34.366
2415,31.366
2418,31.366
2418,28.366
2418,25.366
2418,22.366
2421,22.366
2424,19.366
2424,16.366
2427,16.366
2427,13.366
2430,13.366
2430,10.366
2433,7.366
2433,4.366
2433,1.366
2436,1.366
2436,-1.634
2439,-1.634
2439,-4.634
2442,-4.634
2445,-4.634
2448,-4.634
2454,-4.634
2454,-1.634
2457,-1.634
2457,1.366
2457,4.366
2457,7.366
2457,10.366
2460,10.366
2460,13.366
2463,13.366
2463,16.366
2466,19.366
2469,19.366
2472,22.366
2475,22.366
2478,22.366
2481,22.366
2484,22.366
2487,22.366
2493,22.366
2499,22.366
2502,22.366
2508,25.366
2511,25.366
2517,25.366
2523,25.366
2526,25.366
2529,25.366
2532,25.366
2535,25.366
2538,25.366
2541,25.366
2544,25.366
2547,25.366
2553,28.366
2559,31.366
2565,34.366
2571,34.366
2571,37.366
2574,37.366
2577,37.366
2580,37.366
2583,37.366
2586,37.366
2589,37.366
2595,37.366
2598,37.366
2604,37.366
2607,37.366
2607,34.366
2610,34.366
2616,34.366
2619,34.366
2622,31.366
2625,31.366
2625,28.366
2628,28.366
2628,25.366
2631,25.366
2631,22.366
2634,22.366
2637,25.366
2643,25.366
2646,28.366
2652,28.366
2655,31.366
2661,31.366
2664,31.366
2667,34.366
2673,34.366
2676,34.366
2679,34.366
2685,34.366
2688,34.366
2691,34.366
2694,34.366
2697,34.366
2700,34.366
2703,34.366
2703,31.366
2706,31.366
2706,28.366
2709,28.366
2709,25.366
2712,25.366
2715,25.366
2718,25.366
2718,22.366
2721,22.366
2724,22.366
2727,22.366
2730,22.366
2733,22.366
2736,22.366
2739,22.366
2742,22.366
2745,22.366
2748,22.366
2751,22.366
2754,22.366
2757,22.366
2760,22.366
2763,22.366
2766,19.366
2769,19.366
2772,19.366
2775,19.366
2781,16.366
2784,16.366
2787,16.366
2790,16.366
2790,13.366
2790,10.366
2793,10.366
2796,10.366
2796,7.366
2802,7.366
2805,7.366
2808,7.366
2811,7.366
2814,4.366
2817,4.366
2820,4.366
2820,1.366
2823,1.366
2826,1.366
2826,-1.634
2829,-1.634
2832,-1.634
2835,-1.634
2838,-1.634
2841,-1.634
2847,-1.634
2850,-1.634
2853,-1.634
2856,-1.634
2862,-1.634
2865,-1.634
2868,-1.634
2871,-1.634
2874,-1.634
2877,-1.634
2877,1.366
2880,1.366
2883,1.366
2886,1.366
2889,1.366
2889,-1.634
2889,-4.634
2889,-7.634
2892,-7.634
2895,-7.634
2895,-10.634
2898,-10.634
2901,-13.634
2904,-13.634
2907,-13.634
2910,-13.634
2913,-13.634
2916,-13.634
2919,-10.634
2919,-7.634
2925,-4.634
2928,-1.634
2937,-1.634
2940,4.366
2949,7.366
2955,7.366
2958,10.366
2961,10.366
2964,10.366
2967,10.366
2970,13.366
2973,13.366
2976,13.366
2985,13.366
2997,16.366
3003,16.366
3009,16.366
3012,16.366
3015,16.366
3018,16.366
3021,16.366
3024,16.366
3027,16.366
3030,16.366
3033,16.366
3036,16.366
3039,16.366
3045,16.366
3051,16.366
3054,16.366
3057,16.366
3057,19.366
3060,19.366
3063,19.366
3066,19.366
3069,19.366
3072,19.366
3075,19.366
3078,19.366
3081,19.366
3081,16.366
3081,13.366
3084,13.366
3084,10.366
3087,10.366
3088,10.366
3088,7.366
3088,4.366
