Targeted Cu wt. %,Weights measured (g),,"Casting composition, Cu wt. %",First inflection time (s),First inflection temperature (°C),Second inflection time (s),Second inflection temperature (°C),Third inflection time (s),Third inflection temperature (°C)
,,,,,,,,,
,Al,Al-Cu,,,,,,,
,,,,,,,,,
4,184.105,15.996,3.996,36,491.4,48,486.5,114.3,418.4
10,160.025,39.596,9.918,64,477.3,130,425.5,158,423.4
16,135.7550,66.954,16.51,60,446.1,96,427,141,422.8
24,103.836,95.77,23.943,37,438.9,66,426.6,92,416
33,67.969,131.123,32.93,52,425.5,117,419.1,,
33,67.9260,132.6150,33.06,78,418,144,410.7,,
33,67.992,133.058,33.091,35,423.9,92,415,,
34,63.9240,137.5570,34.14,43,410.2,67,394.9,108,387.8
36,56.119,143.345,35.93,70,422.8,109,400.2,341,224.4
40,40.074,159.006,39.94,27,440.2,31,438.3,84,405.2
44,,,,50,400.7,75,370.2,108,362.1
50,0,199.961,50,38,451.9,85,421.2,96,417.3