Total velocity (m/s),Drag coefficient 
0,0.782
0.005,0.782
0.005,0.781
0.005,0.781
0.012,0.781
0.11,0.78
0.25,0.779
0.47,0.775
0.802,0.768
1.299,0.755
1.89,0.737
2.481,0.721
3.074,0.706
3.667,0.693
4.261,0.682
4.856,0.679
5.452,0.676
6.18,0.673
6.778,0.671
7.376,0.669
7.975,0.667
8.574,0.665
9.173,0.664
9.773,0.662
10.373,0.661
10.974,0.66
11.575,0.659
12.176,0.658
12.777,0.657
13.379,0.656
13.981,0.656
14.584,0.657
15.186,0.657
15.788,0.657
16.391,0.657
16.994,0.657
17.597,0.657
18.201,0.657
18.804,0.657
19.408,0.657
20.012,0.657
20.615,0.657
21.22,0.657
21.824,0.657
22.428,0.657
23.032,0.657
23.637,0.657
24.242,0.657
24.846,0.657
25.451,0.658
26.057,0.658
26.662,0.658
27.268,0.658
27.873,0.658
28.479,0.658
29.086,0.658
29.692,0.658
30.299,0.658
30.906,0.658
31.513,0.658
32.12,0.658
32.727,0.658
33.335,0.658
33.943,0.658
34.551,0.658
35.159,0.659
35.768,0.659
36.376,0.659
36.985,0.659
37.594,0.659
38.203,0.659
38.812,0.659
39.421,0.659
40.031,0.659
40.64,0.659
41.25,0.659
41.859,0.659
42.469,0.659
43.079,0.659
43.688,0.659
44.298,0.66
44.907,0.66
45.516,0.66
46.125,0.66
46.734,0.66
47.343,0.66
48.256,0.66
48.56,0.66
49.017,0.66
49.701,0.66
50.728,0.66
51.926,0.661
53.14,0.661
54.318,0.661
54.644,0.661
55.134,0.661
55.867,0.661
56.969,0.661
58.047,0.661
59.101,0.662
60.132,0.662
60.733,0.662
61.635,0.662
62.616,0.662
63.581,0.662
64.529,0.662
65.462,0.662
66.381,0.663
66.838,0.663
67.523,0.663
68.412,0.663
69.29,0.663
70.156,0.663
71.011,0.663
71.857,0.664
72.693,0.664
72.957,0.664
73.355,0.664
73.951,0.664
74.765,0.664
75.571,0.664
76.369,0.664
77.16,0.664
77.944,0.665
78.721,0.665
79.086,0.665
79.633,0.665
80.397,0.665
81.156,0.665
81.909,0.665
82.658,0.665
83.401,0.666
84.14,0.666
84.875,0.666
85.219,0.666
85.735,0.666
86.461,0.666
87.183,0.666
87.901,0.666
88.616,0.667
89.328,0.667
90.036,0.667
90.742,0.667
91.356,0.667
92.056,0.667
92.754,0.667
93.45,0.668
94.143,0.668
94.834,0.668
95.522,0.668
96.209,0.668
96.894,0.668
97.497,0.668
98.179,0.669
98.859,0.669
99.539,0.669
100.217,0.669
100.894,0.669
101.569,0.669
102.244,0.669
102.919,0.67
103.643,0.67
104.316,0.67
104.988,0.67
105.659,0.67
106.33,0.67
107.001,0.671
107.671,0.671
108.342,0.671
109.012,0.671
109.796,0.671
110.466,0.671
111.136,0.672
111.806,0.672
112.477,0.672
113.148,0.672
113.819,0.672
114.491,0.672
115.163,0.673
115.952,0.673
116.626,0.673
117.3,0.673
117.975,0.673
118.651,0.673
119.328,0.674
120.006,0.674
120.685,0.674
121.365,0.674
122.107,0.674
122.789,0.675
123.473,0.675
124.158,0.675
124.845,0.675
125.533,0.675
126.223,0.676
126.915,0.676
127.608,0.676
128.261,0.676
128.958,0.676
129.657,0.677
130.359,0.677
131.062,0.677
131.768,0.677
132.476,0.677
133.187,0.678
133.9,0.678
134.418,0.678
135.135,0.678
135.855,0.678
136.578,0.679
137.304,0.679
138.033,0.679
138.765,0.679
139.5,0.68
140.237,0.68
140.576,0.68
141.085,0.68
141.83,0.68
142.578,0.681
143.33,0.681
144.085,0.681
144.844,0.681
145.607,0.682
146.373,0.682
146.733,0.682
147.272,0.682
148.047,0.682
148.826,0.683
149.609,0.683
150.397,0.683
151.189,0.683
151.986,0.684
152.883,0.684
153.69,0.684
154.502,0.685
155.319,0.685
156.141,0.685
156.969,0.686
157.803,0.686
158.642,0.686
159.029,0.686
159.609,0.687
160.461,0.687
161.32,0.687
162.185,0.687
163.057,0.688
163.935,0.688
164.821,0.689
165.172,0.689
165.699,0.689
166.489,0.689
167.395,0.69
168.309,0.69
169.231,0.69
170.161,0.691
171.099,0.691
171.31,0.691
171.628,0.691
172.103,0.692
172.817,0.692
173.78,0.692
174.753,0.693
175.736,0.693
176.728,0.694
177.443,0.694
178.454,0.694
179.475,0.695
180.508,0.695
181.553,0.696
182.611,0.696
183.571,0.697
184.653,0.697
185.75,0.698
186.86,0.698
187.986,0.699
189.127,0.699
189.692,0.7
190.539,0.7
191.717,0.701
192.913,0.701
194.128,0.702
195.364,0.702
195.802,0.703
196.46,0.703
197.446,0.704
198.739,0.704
200.058,0.705
201.402,0.706
201.901,0.706
202.648,0.706
203.768,0.707
205.194,0.708
206.655,0.709
207.99,0.709
209.523,0.71
211.101,0.711
212.726,0.712
214.068,0.713
215.793,0.714
217.584,0.715
219.448,0.716
220.132,0.717
221.157,0.717
222.694,0.718
224.817,0.72
226.179,0.721
228.222,0.722
230.741,0.724
232.212,0.725
234.418,0.727
237.426,0.729
238.231,0.73
239.436,0.73
241.243,0.732
243.949,0.734
244.229,0.734
244.65,0.735
245.282,0.735
246.228,0.736
247.647,0.737
249.773,0.739
250.207,0.739
250.858,0.74
251.835,0.741
253.299,0.742
255.493,0.744
256.165,0.745
257.171,0.746
258.68,0.747
260.939,0.749
262.101,0.75
263.842,0.752
266.448,0.755
268.012,0.756
270.355,0.759
273.089,0.762
273.897,0.763
275.108,0.764
276.923,0.766
278.781,0.768
279.755,0.769
281.216,0.771
282.719,0.773
284.122,0.775
285.586,0.777
286.825,0.778
288.002,0.78
289.123,0.781
290.194,0.783
291.219,0.784
291.384,0.785
291.63,0.785
292,0.786
292.554,0.786
293.385,0.788
294.29,0.789
295.165,0.79
296.011,0.792
296.831,0.793
297.145,0.793
297.615,0.794
298.32,0.795
299.071,0.796
299.801,0.798
300.511,0.799
301.203,0.8
301.877,0.801
302.534,0.802
302.863,0.803
303.355,0.804
303.978,0.804
304.912,0.805
306.311,0.805
308.536,0.806
310.645,0.807
312.193,0.808
313.552,0.809
314.178,0.809
315.116,0.81
316.286,0.81
317.41,0.811
318.497,0.811
319.555,0.812
319.793,0.812
320.151,0.812
320.687,0.812
321.491,0.813
322.486,0.814
323.464,0.814
324.426,0.815
325.383,0.815
326.315,0.816
327.234,0.817
328.14,0.817
329.034,0.818
329.915,0.818
330.785,0.819
330.941,0.819
331.175,0.819
331.525,0.819
332.051,0.82
332.84,0.82
333.672,0.821
334.494,0.821
335.307,0.822
336.11,0.822
336.46,0.823
336.986,0.824
337.769,0.826
338.543,0.829
339.308,0.831
340.063,0.833
340.81,0.835
341.547,0.837
341.932,0.839
342.51,0.84
343.228,0.842
343.94,0.844
344.643,0.845
345.339,0.847
346.028,0.848
346.709,0.849
347.352,0.851
348.019,0.852
348.68,0.853
349.334,0.855
349.982,0.856
350.623,0.856
351.258,0.857
351.887,0.858
352.51,0.858
352.724,0.859
353.044,0.859
353.524,0.86
354.131,0.86
354.732,0.861
355.327,0.862
355.916,0.862
356.5,0.863
357.078,0.863
357.651,0.863
358.049,0.863
358.613,0.864
359.173,0.864
359.727,0.864
360.276,0.864
360.82,0.864
361.36,0.865
361.895,0.865
362.424,0.865
362.95,0.865
363.333,0.865
363.851,0.865
364.364,0.865
364.874,0.865
365.38,0.864
365.882,0.864
366.379,0.864
366.873,0.864
367.363,0.864
367.85,0.864
368.332,0.864
368.583,0.864
368.959,0.864
369.433,0.863
369.904,0.863
370.371,0.863
370.834,0.863
371.294,0.862
371.75,0.862
372.203,0.862
372.653,0.862
373.099,0.862
373.543,0.861
373.806,0.861
374.2,0.861
374.635,0.861
375.067,0.861
375.496,0.86
375.921,0.86
376.344,0.86
376.763,0.859
377.18,0.859
377.594,0.858
378.006,0.858
378.415,0.858
378.821,0.857
379,0.857
379.27,0.857
379.67,0.856
380.068,0.856
380.463,0.856
380.855,0.855
381.245,0.855
381.632,0.854
382.017,0.854
382.4,0.854
382.781,0.853
383.159,0.853
383.535,0.852
383.909,0.852
384.17,0.851
384.54,0.851
384.907,0.85
385.271,0.85
385.634,0.849
385.994,0.849
386.352,0.848
386.707,0.848
387.061,0.847
387.412,0.847
387.761,0.846
388.108,0.846
388.453,0.845
388.795,0.845
389.136,0.844
389.32,0.844
389.597,0.844
389.933,0.843
390.268,0.842
390.601,0.842
390.932,0.841
391.261,0.841
391.589,0.84
391.915,0.84
392.239,0.839
392.561,0.839
392.882,0.838
393.201,0.838
393.519,0.837
393.834,0.837
394.148,0.836
394.455,0.836
394.766,0.835
395.075,0.835
395.383,0.834
395.69,0.833
395.994,0.833
396.298,0.832
396.6,0.832
396.9,0.831
397.199,0.831
397.496,0.83
397.791,0.83
398.086,0.829
398.378,0.829
398.669,0.828
398.959,0.827
399.247,0.827
399.574,0.826
399.859,0.826
400.143,0.825
400.424,0.825
400.705,0.824
400.984,0.824
401.261,0.823
401.538,0.823
401.812,0.822
402.086,0.822
402.358,0.821
402.629,0.821
402.899,0.82
403.167,0.82
403.434,0.819
403.7,0.819
403.964,0.818
404.228,0.818
404.49,0.817
404.682,0.817
404.941,0.816
405.2,0.816
405.457,0.815
405.714,0.815
405.968,0.814
406.222,0.814
406.475,0.813
406.726,0.813
406.976,0.812
407.226,0.812
407.474,0.811
407.721,0.811
407.967,0.81
408.212,0.81
408.455,0.809
408.698,0.809
408.94,0.809
409.181,0.808
409.42,0.808
409.78,0.807
410.017,0.806
410.253,0.806
410.488,0.806
410.722,0.805
410.955,0.805
411.187,0.804
411.418,0.804
411.648,0.803
411.877,0.803
412.105,0.802
412.333,0.802
412.56,0.802
412.785,0.801
413.01,0.801
413.235,0.8
413.458,0.8
413.681,0.799
413.903,0.799
414.124,0.799
414.344,0.798
414.563,0.798
414.871,0.797
415.088,0.797
415.305,0.796
415.52,0.796
415.735,0.796
415.949,0.795
416.162,0.795
416.374,0.794
416.585,0.794
416.795,0.794
417.005,0.793
417.214,0.793
417.422,0.793
417.629,0.792
417.835,0.792
418.04,0.791
418.245,0.791
418.449,0.791
418.652,0.79
418.854,0.79
419.055,0.79
419.256,0.789
419.455,0.789
419.655,0.789
419.95,0.788
420.148,0.788
420.344,0.787
420.54,0.787
420.735,0.787
420.93,0.786
421.123,0.786
421.316,0.786
421.509,0.785
421.7,0.785
421.891,0.785
422.081,0.784
422.271,0.784
422.46,0.784
422.648,0.783
422.835,0.783
423.022,0.783
423.208,0.783
423.393,0.782
423.577,0.782
423.761,0.782
423.944,0.781
424.127,0.781
424.308,0.781
424.49,0.78
424.67,0.78
424.85,0.78
425.018,0.78
425.197,0.779
425.375,0.779
425.553,0.779
425.73,0.778
425.906,0.778
426.082,0.778
426.257,0.778
426.432,0.777
426.607,0.777
426.78,0.777
426.953,0.777
427.126,0.776
427.298,0.776
427.469,0.776
427.64,0.775
427.81,0.775
427.98,0.775
428.149,0.775
428.317,0.775
428.485,0.774
428.652,0.774
428.819,0.774
428.985,0.774
429.151,0.773
429.316,0.773
429.481,0.773
429.645,0.773
429.808,0.773
430.073,0.772
430.235,0.772
430.397,0.772
430.558,0.772
430.719,0.771
430.88,0.771
431.039,0.771
431.199,0.771
431.357,0.771
431.516,0.77
431.674,0.77
431.831,0.77
431.988,0.77
432.144,0.77
432.3,0.769
432.455,0.769
432.61,0.769
432.765,0.769
432.919,0.769
433.072,0.768
433.225,0.768
433.377,0.768
433.529,0.768
433.681,0.768
433.831,0.767
433.982,0.767
434.132,0.767
434.281,0.767
434.43,0.767
434.578,0.767
434.726,0.766
434.874,0.766
435.113,0.766
435.259,0.766
435.405,0.766
435.55,0.766
435.695,0.765
435.839,0.765
435.983,0.765
436.127,0.765
436.27,0.765
436.412,0.765
436.554,0.764
436.696,0.764
436.837,0.764
436.978,0.764
437.118,0.764
437.258,0.764
437.398,0.763
437.537,0.763
437.675,0.763
437.814,0.763
437.951,0.763
438.089,0.763
438.226,0.763
438.363,0.762
438.499,0.762
438.635,0.762
438.77,0.762
438.905,0.762
439.04,0.762
439.174,0.762
439.308,0.761
439.441,0.761
439.575,0.761
439.707,0.761
439.84,0.761
439.972,0.761
440.134,0.76
440.266,0.76
440.396,0.76
440.527,0.76
440.657,0.76
440.787,0.76
440.916,0.76
441.045,0.759
441.174,0.759
441.302,0.759
441.43,0.759
441.558,0.759
441.685,0.759
441.812,0.759
441.938,0.759
442.065,0.758
442.19,0.758
442.316,0.758
442.441,0.758
442.566,0.758
442.691,0.758
442.817,0.758
442.942,0.757
443.067,0.757
443.192,0.757
443.317,0.757
443.442,0.757
443.567,0.757
443.692,0.757
443.817,0.757
443.942,0.756
444.067,0.756
444.192,0.756
444.317,0.756
444.442,0.756
444.567,0.756
444.692,0.756
444.817,0.755
444.942,0.755
445.139,0.755
445.264,0.755
445.388,0.755
445.513,0.755
445.638,0.755
445.763,0.754
445.888,0.754
446.013,0.754
446.138,0.754
446.263,0.754
446.387,0.754
446.512,0.754
446.637,0.754
446.762,0.753
446.887,0.753
447.011,0.753
447.136,0.753
447.261,0.753
447.386,0.753
447.511,0.753
447.635,0.752
447.76,0.752
447.885,0.752
448.009,0.752
448.134,0.752
448.259,0.752
448.384,0.752
448.508,0.752
448.633,0.751
448.758,0.751
448.882,0.751
449.007,0.751
449.132,0.751
449.256,0.751
449.381,0.751
449.506,0.751
449.63,0.75
449.755,0.75
449.879,0.75
450.004,0.75
450.129,0.75
450.253,0.75
450.378,0.75
450.502,0.75
450.627,0.749
450.751,0.749
450.876,0.749
451,0.749
451.125,0.749
451.249,0.749
451.374,0.749
451.498,0.748
451.623,0.748
451.747,0.748
451.872,0.748
451.996,0.748
452.12,0.748
452.245,0.748
452.369,0.748
452.494,0.747
452.618,0.747
452.742,0.747
452.867,0.747
452.991,0.747
453.115,0.747
453.24,0.747
453.364,0.747
453.488,0.746
453.613,0.746
453.737,0.746
453.861,0.746
453.985,0.746
454.11,0.746
454.234,0.746
454.358,0.746
454.482,0.745
454.607,0.745
454.731,0.745
454.855,0.745
454.979,0.745
455.103,0.745
455.227,0.745
455.352,0.745
455.476,0.744
455.6,0.744
455.724,0.744
455.848,0.744
455.972,0.744
456.096,0.744
456.22,0.744
456.344,0.744
456.468,0.743
456.592,0.743
