Total velocity (m/s),Drag coefficient 
456.716,0.743
456.84,0.743
456.964,0.743
457.088,0.743
457.212,0.743
457.336,0.743
457.46,0.742
457.584,0.742
457.708,0.742
457.832,0.742
457.956,0.742
458.08,0.742
458.203,0.742
458.327,0.742
458.451,0.741
458.575,0.741
458.699,0.741
458.822,0.741
458.946,0.741
459.07,0.741
459.194,0.741
459.317,0.741
459.441,0.74
459.565,0.74
459.689,0.74
459.812,0.74
459.936,0.74
460.06,0.74
460.183,0.74
460.307,0.74
460.43,0.739
460.554,0.739
460.678,0.739
460.801,0.739
460.925,0.739
461.048,0.739
461.172,0.739
461.295,0.739
461.419,0.739
461.543,0.738
461.666,0.738
461.79,0.738
461.913,0.738
462.037,0.738
462.16,0.738
462.283,0.738
462.407,0.738
462.53,0.737
462.654,0.737
462.777,0.737
462.901,0.737
463.024,0.737
463.147,0.737
463.271,0.737
463.394,0.737
463.517,0.736
463.641,0.736
463.764,0.736
463.887,0.736
464.011,0.736
464.134,0.736
464.257,0.736
464.381,0.736
464.504,0.735
464.627,0.735
464.75,0.735
464.874,0.735
464.997,0.735
465.12,0.735
465.243,0.735
465.366,0.735
465.49,0.735
465.613,0.734
465.736,0.734
465.859,0.734
465.982,0.734
466.105,0.734
466.228,0.734
466.352,0.734
466.475,0.734
466.598,0.733
466.721,0.733
466.844,0.733
466.967,0.733
467.09,0.733
467.213,0.733
467.336,0.733
467.459,0.733
467.582,0.732
467.705,0.732
467.828,0.732
467.951,0.732
468.074,0.732
468.197,0.732
468.32,0.732
468.443,0.732
468.566,0.732
468.689,0.731
468.812,0.731
468.935,0.731
469.058,0.731
469.181,0.731
469.304,0.731
469.427,0.731
469.549,0.731
469.672,0.73
469.795,0.73
469.918,0.73
470.041,0.73
470.164,0.73
470.287,0.73
470.409,0.73
470.532,0.73
470.655,0.73
470.778,0.729
470.901,0.729
471.023,0.729
471.146,0.729
471.269,0.729
471.392,0.729
471.514,0.729
471.637,0.729
471.76,0.729
471.882,0.728
472.005,0.728
472.128,0.728
472.25,0.728
472.373,0.728
472.496,0.728
472.618,0.728
472.741,0.728
472.863,0.727
472.986,0.727
473.109,0.727
473.231,0.727
473.354,0.727
473.476,0.727
473.599,0.727
473.721,0.727
473.844,0.727
473.966,0.726
474.089,0.726
474.211,0.726
474.334,0.726
474.456,0.726
474.579,0.726
474.701,0.726
474.824,0.726
474.946,0.726
475.069,0.725
475.191,0.725
475.313,0.725
475.436,0.725
475.558,0.725
475.68,0.725
475.803,0.725
475.925,0.725
476.047,0.724
476.17,0.724
476.292,0.724
476.414,0.724
476.537,0.724
476.659,0.724
476.781,0.724
476.903,0.724
477.026,0.724
477.148,0.723
477.27,0.723
477.392,0.723
477.514,0.723
477.636,0.723
477.759,0.723
477.881,0.723
478.003,0.723
478.125,0.723
478.247,0.722
478.369,0.722
478.491,0.722
478.613,0.722
478.735,0.722
478.857,0.722
478.979,0.722
479.101,0.722
479.223,0.722
479.345,0.721
479.467,0.721
479.589,0.721
479.711,0.721
479.833,0.721
479.955,0.721
480.077,0.721
480.199,0.721
480.321,0.721
480.443,0.72
480.564,0.72
480.686,0.72
480.808,0.72
480.93,0.72
481.052,0.72
481.174,0.72
481.295,0.72
481.417,0.72
481.539,0.719
481.661,0.719
481.783,0.719
481.904,0.719
482.026,0.719
482.148,0.719
482.269,0.719
482.391,0.719
482.513,0.719
482.635,0.718
482.756,0.718
482.878,0.718
483,0.718
483.121,0.718
483.243,0.718
483.364,0.718
483.486,0.718
483.608,0.718
483.729,0.717
483.851,0.717
483.972,0.717
484.094,0.717
484.216,0.717
484.337,0.717
484.459,0.717
484.58,0.717
484.702,0.717
484.823,0.716
484.945,0.716
485.066,0.716
485.188,0.716
485.309,0.716
485.431,0.716
485.552,0.716
485.673,0.716
485.795,0.716
485.916,0.715
486.038,0.715
486.159,0.715
486.28,0.715
486.402,0.715
486.523,0.715
486.645,0.715
486.766,0.715
486.887,0.715
487.009,0.714
487.13,0.714
487.251,0.714
487.373,0.714
487.494,0.714
487.615,0.714
487.736,0.714
487.858,0.714
487.979,0.714
488.1,0.713
488.221,0.713
488.343,0.713
488.464,0.713
488.585,0.713
488.706,0.713
488.828,0.713
488.949,0.713
489.07,0.713
489.191,0.712
489.312,0.712
489.433,0.712
489.555,0.712
489.676,0.712
489.797,0.712
489.918,0.712
490.039,0.712
490.16,0.712
490.281,0.711
490.402,0.711
490.523,0.711
490.645,0.711
490.766,0.711
490.887,0.711
491.008,0.711
491.129,0.711
491.25,0.711
491.371,0.711
491.492,0.71
491.613,0.71
491.734,0.71
491.855,0.71
491.976,0.71
492.096,0.71
492.217,0.71
492.338,0.71
492.459,0.71
492.58,0.709
492.701,0.709
492.822,0.709
492.943,0.709
493.064,0.709
493.184,0.709
493.305,0.709
493.426,0.709
493.547,0.709
493.668,0.708
493.789,0.708
493.909,0.708
494.03,0.708
494.151,0.708
494.272,0.708
494.392,0.708
494.513,0.708
494.634,0.708
494.755,0.708
494.875,0.707
494.996,0.707
495.117,0.707
495.237,0.707
495.358,0.707
495.479,0.707
495.599,0.707
495.72,0.707
495.84,0.707
495.961,0.706
496.082,0.706
496.202,0.706
496.323,0.706
496.443,0.706
496.564,0.706
496.684,0.706
496.805,0.706
496.925,0.706
497.046,0.706
497.166,0.705
497.287,0.705
497.407,0.705
497.528,0.705
497.648,0.705
497.769,0.705
497.889,0.705
498.009,0.705
498.13,0.705
498.25,0.705
498.37,0.704
498.491,0.704
498.611,0.704
498.731,0.704
498.852,0.704
498.972,0.704
499.092,0.704
499.213,0.704
499.333,0.704
499.453,0.703
499.573,0.703
499.694,0.703
499.814,0.703
499.934,0.703
500.054,0.703
500.174,0.703
500.295,0.703
500.415,0.703
500.535,0.703
500.655,0.702
500.775,0.702
500.895,0.702
501.016,0.702
501.136,0.702
501.256,0.702
501.376,0.702
501.496,0.702
501.616,0.702
501.736,0.702
501.856,0.701
501.976,0.701
502.096,0.701
502.216,0.701
502.336,0.701
502.456,0.701
502.576,0.701
502.696,0.701
502.816,0.701
502.936,0.701
503.056,0.7
503.176,0.7
503.296,0.7
503.416,0.7
503.536,0.7
503.656,0.7
503.776,0.7
503.896,0.7
504.015,0.7
504.135,0.7
504.255,0.699
504.375,0.699
504.495,0.699
504.615,0.699
504.735,0.699
504.854,0.699
504.974,0.699
505.094,0.699
505.214,0.699
505.334,0.698
505.453,0.698
505.573,0.698
505.693,0.698
505.813,0.698
505.932,0.698
506.052,0.698
506.172,0.698
506.292,0.698
506.411,0.698
506.531,0.697
506.651,0.697
506.77,0.697
506.89,0.697
507.01,0.697
507.129,0.697
507.249,0.697
507.369,0.697
507.488,0.697
507.608,0.697
507.728,0.696
507.847,0.696
507.967,0.696
508.086,0.696
508.206,0.696
508.326,0.696
508.445,0.696
508.565,0.696
508.684,0.696
508.804,0.696
508.923,0.695
509.043,0.695
509.162,0.695
509.282,0.695
509.401,0.695
509.521,0.695
509.64,0.695
509.76,0.695
509.879,0.695
509.999,0.695
510.118,0.694
510.238,0.694
510.357,0.694
510.476,0.694
510.596,0.694
510.715,0.694
510.835,0.694
510.954,0.694
511.073,0.694
511.193,0.694
511.312,0.694
511.431,0.693
511.551,0.693
511.67,0.693
511.789,0.693
511.909,0.693
512.028,0.693
512.147,0.693
512.266,0.693
512.386,0.693
512.505,0.693
512.624,0.692
512.743,0.692
512.863,0.692
512.982,0.692
513.101,0.692
513.22,0.692
513.339,0.692
513.458,0.692
513.578,0.692
513.697,0.692
513.816,0.691
513.935,0.691
514.054,0.691
514.173,0.691
514.292,0.691
514.411,0.691
514.531,0.691
514.65,0.691
514.769,0.691
514.888,0.691
515.007,0.69
515.126,0.69
515.245,0.69
515.364,0.69
515.483,0.69
515.602,0.69
515.721,0.69
515.84,0.69
515.958,0.69
516.077,0.69
516.196,0.689
516.315,0.689
516.434,0.689
516.553,0.689
516.672,0.689
516.791,0.689
516.91,0.689
517.028,0.689
517.147,0.689
517.266,0.689
517.385,0.689
517.504,0.688
517.622,0.688
517.741,0.688
517.86,0.688
517.979,0.688
518.097,0.688
518.216,0.688
518.335,0.688
518.454,0.688
518.572,0.688
518.691,0.687
518.81,0.687
518.928,0.687
519.047,0.687
519.165,0.687
519.284,0.687
519.403,0.687
519.521,0.687
519.64,0.687
519.758,0.687
519.877,0.686
519.995,0.686
520.114,0.686
520.232,0.686
520.351,0.686
520.469,0.686
520.588,0.686
520.706,0.686
520.825,0.686
520.943,0.686
521.062,0.686
521.18,0.685
521.298,0.685
521.417,0.685
521.535,0.685
521.654,0.685
521.772,0.685
521.89,0.685
522.009,0.685
522.127,0.685
522.245,0.685
522.363,0.684
522.482,0.684
522.6,0.684
522.718,0.684
522.836,0.684
522.955,0.684
523.073,0.684
523.191,0.684
523.309,0.684
523.427,0.684
523.545,0.684
523.663,0.683
523.782,0.683
523.9,0.683
524.018,0.683
524.136,0.683
524.254,0.683
524.372,0.683
524.49,0.683
524.608,0.683
524.726,0.683
524.844,0.682
524.962,0.682
525.079,0.682
525.197,0.682
525.315,0.682
525.433,0.682
525.551,0.682
525.669,0.682
525.787,0.682
525.904,0.682
526.022,0.682
526.14,0.681
526.258,0.681
526.375,0.681
526.493,0.681
526.611,0.681
526.728,0.681
526.846,0.681
526.964,0.681
527.081,0.681
527.199,0.681
527.316,0.681
527.434,0.68
527.552,0.68
527.669,0.68
527.787,0.68
527.904,0.68
528.022,0.68
528.139,0.68
528.257,0.68
528.374,0.68
528.491,0.68
528.609,0.679
528.726,0.679
528.844,0.679
528.961,0.679
529.078,0.679
529.196,0.679
529.313,0.679
529.431,0.679
529.548,0.679
529.665,0.679
529.782,0.679
529.9,0.678
530.017,0.678
530.134,0.678
530.252,0.678
530.369,0.678
530.486,0.678
530.603,0.678
530.721,0.678
530.838,0.678
530.955,0.678
531.072,0.678
531.189,0.677
531.306,0.677
531.424,0.677
531.541,0.677
531.658,0.677
531.775,0.677
531.892,0.677
532.009,0.677
532.126,0.677
532.243,0.677
532.36,0.677
532.477,0.676
532.594,0.676
532.711,0.676
532.828,0.676
532.945,0.676
533.062,0.676
533.179,0.676
533.296,0.676
533.413,0.676
533.53,0.676
533.647,0.676
533.764,0.675
533.881,0.675
533.998,0.675
534.115,0.675
534.232,0.675
534.349,0.675
534.466,0.675
534.582,0.675
534.699,0.675
534.816,0.675
534.933,0.675
535.05,0.674
535.167,0.674
535.284,0.674
535.401,0.674
535.517,0.674
535.634,0.674
535.751,0.674
535.868,0.674
535.985,0.674
536.101,0.674
536.218,0.674
536.335,0.673
536.452,0.673
536.569,0.673
536.685,0.673
536.802,0.673
536.919,0.673
537.036,0.673
537.152,0.673
537.269,0.673
537.386,0.673
537.502,0.673
537.619,0.672
537.736,0.672
537.853,0.672
537.969,0.672
538.086,0.672
538.203,0.672
538.319,0.672
538.436,0.672
538.553,0.672
538.669,0.672
538.786,0.672
538.903,0.671
539.019,0.671
539.136,0.671
539.253,0.671
539.369,0.671
539.486,0.671
539.602,0.671
539.719,0.671
539.836,0.671
539.952,0.671
540.069,0.671
540.185,0.67
540.302,0.67
540.419,0.67
540.535,0.67
540.652,0.67
540.768,0.67
540.885,0.67
541.001,0.67
541.118,0.67
541.235,0.67
541.351,0.67
541.468,0.669
541.584,0.669
541.701,0.669
541.817,0.669
541.934,0.669
542.05,0.669
542.167,0.669
542.283,0.669
542.4,0.669
542.516,0.669
542.633,0.669
542.749,0.668
542.866,0.668
542.982,0.668
543.099,0.668
543.215,0.668
543.331,0.668
543.448,0.668
543.564,0.668
543.681,0.668
543.797,0.668
543.914,0.668
544.031,0.667
544.148,0.667
544.265,0.667
544.383,0.667
544.501,0.667
544.619,0.667
544.737,0.667
544.856,0.667
544.975,0.667
545.095,0.667
545.214,0.667
545.334,0.666
545.455,0.666
545.575,0.666
545.696,0.666
545.817,0.666
545.939,0.666
546.061,0.666
546.183,0.666
546.356,0.666
546.479,0.666
546.602,0.666
546.725,0.665
546.848,0.665
546.972,0.665
547.096,0.665
547.22,0.665
547.345,0.665
547.47,0.665
547.595,0.665
547.72,0.665
547.846,0.665
547.972,0.664
548.098,0.664
548.225,0.664
548.352,0.664
548.479,0.664
548.607,0.664
548.735,0.664
548.863,0.664
548.992,0.664
549.121,0.664
549.25,0.663
549.38,0.663
549.509,0.663
549.639,0.663
549.77,0.663
549.9,0.663
550.031,0.663
550.162,0.663
550.293,0.663
550.425,0.663
550.557,0.663
550.689,0.662
550.822,0.662
550.996,0.662
551.129,0.662
551.263,0.662
551.397,0.662
551.531,0.662
551.666,0.662
551.801,0.662
551.937,0.661
552.072,0.661
552.208,0.661
552.345,0.661
552.481,0.661
552.618,0.661
552.755,0.661
552.892,0.661
553.03,0.661
553.168,0.661
553.306,0.66
553.444,0.66
553.583,0.66
553.722,0.66
553.861,0.66
554.001,0.66
554.141,0.66
554.281,0.66
554.422,0.66
554.562,0.66
554.704,0.659
554.845,0.659
554.987,0.659
555.129,0.659
555.272,0.659
555.414,0.659
555.617,0.659
555.759,0.659
555.898,0.659
556.035,0.658
556.169,0.658
556.301,0.658
556.43,0.658
556.557,0.658
556.681,0.658
556.803,0.658
556.923,0.658
557.04,0.658
557.154,0.658
557.266,0.657
557.376,0.657
557.483,0.657
557.588,0.657
557.69,0.657
557.789,0.657
557.886,0.657
557.98,0.657
558.071,0.657
558.16,0.657
558.246,0.657
558.329,0.657
558.41,0.657
558.487,0.657
558.562,0.656
558.634,0.656
558.703,0.656
558.769,0.656
558.815,0.656
558.877,0.656
558.936,0.656
558.994,0.656
559.05,0.656
559.105,0.656
559.157,0.656
559.208,0.656
559.256,0.656
559.303,0.656
559.348,0.656
559.391,0.656
559.431,0.656
559.47,0.656
559.506,0.656
559.541,0.656
559.573,0.656
559.602,0.656
559.63,0.655
559.655,0.655
559.678,0.655
559.698,0.655
559.715,0.655
559.73,0.655
559.742,0.655
559.752,0.655
559.759,0.655
559.763,0.655
559.766,0.655
559.767,0.655
559.768,0.655
